name,title,company,bio,talk_session_title,country,photo_url,twitter,linkedin,website,other_social,is_featured,status,program,participant_id,event
Sudhir Ravi,CEO,Chiliz,"Sudhir Ravi is a private equity executive and capital allocator with over 30 years of experience building and scaling businesses across technology, sports, and media. He serves as CEO of Chiliz US, where he is leading the US expansion of the world's leading Sports blockchain platform. A Board Member at the Kellogg School of Management and an Associate Professor at RIT's Saunders College of Business, Sudhir brings rare fluency across capital markets, innovation, and institutional leadership. He is based in Chicago.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/sudhir_ravi.png,,https://www.linkedin.com/in/ravisudhir/,https://iq.wiki/wiki/sudhir-ravi,,yes,active,Featured Exhibitors 2026; Rare Evo 2026 (Main),130,Rare Evo 2026
Todd Ault,Executive Chairman & CEO,Ault,"Milton “Todd” Ault, III, is a visionary entrepreneur and seasoned business leader with over 34 years of experience in identifying and cultivating value across diverse financial markets. As the executive chairman and CEO of Ault & Company, a hybrid private equity firm with core operating platforms consisting of AI Data Centers, Infrastructure, Defense, and Capital Markets. Mr. Ault brings a wealth of knowledge and strategic insight to the forefront of business innovation.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/todd_ault.png,,https://www.linkedin.com/in/miltontoddault/,,,yes,active,Rare Evo 2026 (Main); Featured Exhibitors 2026,177,Rare Evo 2026
Zane Huffman,CEO,Odyssey,"Zane Huffman, better known online as GREEN JEFF, is the co-founder and CEO of Odyssey Finance. Odyssey curates the entire onchain ecosystem into one unified interface, enabling a sophisticated superapp experience for trading, swapping, leveraging, automating, and earning yield.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/zane_huffman.png,https://x.com/jeffthedunker,https://www.linkedin.com/in/zanehuffman/,,,yes,active,Rare Evo 2026 (Main),133,Rare Evo 2026
Adam Rusch,Elected Member of Board of Directors,Intersect,,,,https://api.rareevo.io/storage/domains/dev.rareevo.io/participants/profile/GF0pny4m23WiCuG3EW3l6MDLEdrsIYzULskUxWZH.png,,,,,,active,Rare Evo 2026 (Main); Dev/Gov Day,97,Rare Evo 2026
Adarsh Nair,"Digital Assets, Banking & Capital Markets",EY,"Adarsh is a member of EY’s Digital Assets Practice, working with financial institutions and fintech clients across digital assets, tokenization, stablecoins, custody, institutional DeFi and market structure initiatives. He has worked across both institutional and crypto native ecosystems, helping financial institutions evaluate strategic partnerships, build and investment decisions to accelerate digital asset capabilities and commercialization. Previously, Adarsh worked in strategy consulting, advising financial institutions on blockchain and crypto initiatives. Prior to that, Adarsh worked on the Digital Assets team at Goldman Sachs, supporting industry-first initiatives across Global Markets, Investment Banking, Asset Management and Wealth Management. Adarsh holds an MBA from Cornell University and a B.S. in Mathematics from UCLA.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/adarsh_nair.png,,,,,,active,Rare Evo 2026 (Main),181,Rare Evo 2026
Allen Dickerson,Partner,Baker,"Allen Dickerson is a partner in Baker & Hostetler LLP and a member of the firm’s Appellate and Political Law departments. His practice emphasizes First Amendment litigation, corporate political compliance counseling, and nonprofit advising. From 2020 to 2025, Dickerson served as a Senate-confirmed member of the Federal Election Commission. He chaired the Commission in 2022. During his tenure, he shepherded the first adoption of a new regulation in over a decade, led reforms to the Commission’s investigation and interagency practices, and authored more than 150 Statements of Reasons interpreting the Federal Election Campaign Act. Previously, he was Legal Director of the Institute for Free Speech, where he led a nationwide First Amendment practice. He has also worked as a litigation associate in the New York office of Kirkland & Ellis LLP. Dickerson is a Major in the Judge Advocate General’s Corps, U.S. Army Reserve, an Adjunct Professor at the University of Mississippi School of Law, and an Advisory Member of the American Bar Association’s Standing Committee on Election Law. He received his education at Yale College and New York University School of Law.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/allen_dickerson.png,,,,,,active,Rare Evo 2026 (Main),172,Rare Evo 2026
Ben Beckmann,Chief Technical Advisor,Midnight,"Dr. Benjamin Beckmann is Chief Technical Adviser at the Midnight Foundation, advising on the development of the Midnight Network, a project he began supporting during his previous position at Input Output Global (IOG). Over the last 20 years, Ben's work has focused on incentives and evolutionary pressures to form communities and mold behavior, resulting in more than 30 refereed publications, 19 published patents, and over $14 million in federal funding. He is also an active contributor to multiple open-source software platforms, and his work has been the focus of articles in The New York Times, New Scientist, O'Reilly, and The Wall Street Journal. Ben holds a B.S., M.S., and Ph.D. in the field of Computer Science and Artificial Intelligence and has worked in the field of blockchain technology since 2014. His work has received multiple awards from General Electric and Frost & Sullivan. When he is not leading the technology vision for Midnight, Ben enjoys spending his free time with family and friends doing many hobbies, such as skiing, golfing, soccer, and cards.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/ben_beckmann.png,,https://www.linkedin.com/in/ben-beckmann/,,,,active,Rare Evo 2026 (Main),158,Rare Evo 2026
Brian Kleven,CFO,Dignity Health,"Brian serves as the Nevada Market Chief Financial Officer (CFO) of Dignity Health St. Rose Dominican Hospitals and manages the financial operations of all business entities in the organization. This includes the three acute care hospital locations, a medical group with approximately seventy-five providers, and several large-scale joint ventures in the Southern Nevada area. Over the course of his career, Brian has managed strategic acquisitions and successful system conversions at several hospitals. Brian has also managed revenue cycle operations at various hospitals and assisted in negotiating financially beneficial contracts with major insurance providers. Brian has a Master’s in Business Administration degree from the University of Nevada, Las Vegas and a Bachelor’s of Science degree with an emphasis in Finance from California State University, Northridge. He is a member of the Healthcare Finance Management Association (HFMA) and Financial Executives International (FEI). Brian serves on various community leadership boards in Nevada, including the Henderson Chamber of Commerce (HCC) Board of Directors, Las Vegas Global Economic Alliance (LVGEA) Board of Directors, Nevada Donor Network (NDN) Board of Directors, Opportunity Village (OV) Board of Directors, College of Southern Nevada (CSN) Foundation Board of Trustees, and Healthcare Financial Management Association (HFMA).",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/brain_klevin.png,,,,,,active,Rare Evo 2026 (Main),164,Rare Evo 2026
Carlos Souza,Co-Founder - Idopter Labs,,"Carlos Souza is the co-founder and Director of R&D at Idopter Labs, where he leads software teams using Elixir. With a passion for blockchain technology, Carlos has become a prolific open-source contributor, particularly in the Cardano ecosystem. His notable projects include Xogmios, an Elixir client for Ogmios, and Xander, an Elixir network client implementation for the Cardano Ouroboros protocol. He is also the operator of the JUNGLE Cardano Stake Pool.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/carlos.png,https://x.com/IOHK_Charles,,,,,active,Rare Evo 2026,84,Rare Evo 2026
Chris johnson,Co-Founder,Virtuals Protocol,"Chris Johnson is a co-founder of Virtuals Protocol, a Web3 platform focused on creating and monetizing AI-powered virtual agents. With a background in digital marketing and virtual reality, he has played a key role in building and growing the project’s ecosystem, contributing across product, community, and business development.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/chris_johnson.png,https://x.com/DonJohnsonSays,,,,,active,Rare Evo 2026 (Main),77,Rare Evo 2026
Cody Carbone,CEO,The Digital Chamber,,,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/cody_carbone.png,,https://www.linkedin.com/in/codycarbone/,,,,active,Rare Evo 2026 (Main),170,Rare Evo 2026
Connor Snitker,Principal Software Engineer,GoDaddy,,,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/connor_snitker.png,,https://www.linkedin.com/in/connorsnitker/,,,,active,Rare Evo 2026 (Main),168,Rare Evo 2026
Daniel Kang,CSO,DeFi Development Corp,"DK is Chief Strategy Officer of DeFi Development Corp (NASDAQ: DFDV): the best performing crypto stock of 2025. Prior to DFDV, DK was Head of Strategy at Kraken Crypto Exchange. He also spent 8 years in Long/Short Equity covering Internet and Media as a senior analyst at AO Asset Management, a $1B hedge fund. DK’s prior experience includes Corporate Development and Strategy at Snap, as well as Credit Risk Management at Morgan Stanley.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/dk.png,,https://www.linkedin.com/in/danielhkang/,https://iq.wiki/wiki/daniel-kang,,,active,Rare Evo 2026 (Main),140,Rare Evo 2026
Danielle Casey,President & CEO,LVGEA,"Ms. Casey brings extensive and diverse experience in leadership, public administration, marketing, business development and retention, and strategic planning as the leader of AREA, a nonprofit organization working to create a prosperous and diverse economy for the four-county Albuquerque metro region. She joined the organization in October of 2020. Since her arrival, she has transitioned the organization with the delivery of a new Strategic Plan, achieved the status of Accredited Economic Development Organization, engaged formally with regional community partners, renamed and restructured its bylaws and nonprofit status to a 501c3 public charity, and received numerous recognition awards - specifically in 2024 the Bronze Award for Economic Development Organization of the Year from the International Economic Development Council. Previously, she served as the Executive Vice President for the Greater Sacramento Economic Council and oversaw the organization's business development, marketing and communications, investor engagement, research, and strategic initiatives critical to advancing economic growth in Greater Sacramento. She oversaw the comprehensive launch and execution of a best-in class national site selection consultant strategy and established first-ever memorandums of understanding with seven local commercial real estate brokerage offices, receiving a Gold Award from the International Economic Development Council in 2020 for a joint publication she spearheaded with CBRE. She established critical internal efficiencies with revisions to all organizational practices from database management to budget development and oversight. Even in the wake of COVID-19, the organization succeeded in meeting all its annual metrics and job creation goals and launching a regional business retention and expansion outreach program.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/danielle_casey.png,,,,,,active,Rare Evo 2026 (Main),165,Rare Evo 2026
David Buttrey,Co-Founder & President,Mangrove,"Executive with global reach having Generated $250M+ in economic value through strategic partnerships across multiple cross-cultural settings in India, Canada, USA, South Africa, the Middle East, and Europe, managing diverse demographics.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/david_buttrey.png,,https://www.linkedin.com/in/davidtbuttrey/,,,,active,Rare Evo 2026 (Main),152,Rare Evo 2026
Debbie Soon,Head of Marketing,Privy,"Debbie Soon is a Singaporean entrepreneur, investor, and marketing leader, currently Head of Marketing at Privy, a crypto infrastructure company helping bring users onchain. She is the author of Digital Mavericks, a guide to Web3 and blockchain innovation, and a two-time founder, including HUG, a creator-focused platform acquired by .ART. With a background spanning finance, tech, and consumer businesses, she’s known for bridging technology, creativity, and community in the Web3 space.",,,https://api.rareevo.io/storage/domains/dev.rareevo.io/participants/profile/aOQvvWkVttxntj73Xda2Bx3ZzJMGbeFU407JYdDl.png,https://x.com/debsoon?lang=en,,,,,active,Rare Evo 2026 (Main),75,Rare Evo 2026
Eleanor Terrett,Co-Founder & Co-Host,Crypto In America,"Eleanor Terrett is an award-winning journalist and co-founder of the Crypto In America podcast and newsletter. Over the past two years, she has become one of the most trusted sources for breaking news on crypto policy and regulation in Washington. Prior to launching her independent media platform, she spent nine years at FOX Business, including four years covering crypto policy alongside veteran financial journalist and author Charles Gasparino.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/eleanor_terrett.png,https://x.com/EleanorTerrett,https://www.linkedin.com/in/eleanor-terrett-b9a77292/,,,,active,Rare Evo 2026 (Main),175,Rare Evo 2026
Erin Gambrel,Founder,Proof of Sweat,"Erin Gambrel, known as The Blonde Broker, is a crypto entrepreneur, investor, and media personality with over 8 years of experience in digital assets. As the founder of Proof of Sweat, she is building the future of fitness by turning physical performance into an economy—where users earn rewards, compete, and create real value through discipline. Erin bridges the gap between macro markets, crypto infrastructure, and consumer applications through her podcast The Market Runup, the fastest growing emerging macro and tech show.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/erin_gambrel.png,https://x.com/theblondebroker,,https://iq.wiki/wiki/erin-gambrel,,,active,Rare Evo 2026 (Main),142,Rare Evo 2026
Igor Bershadsky,Chief Growth Officer,Hacken,"Web3 entrepreneur with 15+ years of experience spanning financial product sales, project management, and FinTech innovation. My career began in traditional finance, where I spent 13 years building commercial and operational expertise before transitioning into cybersecurity and blockchain. Igor serves as Chief Growth Officer at Hacken, where he works on blockchain security challenges and strategic growth initiatives, supporting the development of robust and secure Web3 ecosystems. His focus lies in bridging traditional finance with decentralized technologies, driving adoption, and scaling secure blockchain solutions.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/igor_hacken.png,,https://www.linkedin.com/in/igorbershadsky/,,,,active,Rare Evo 2026 (Main),143,Rare Evo 2026
Ivan Kan,CMO,T7X,"Ivan Kan is the CMO of T7X, an SEC-registered transfer agent on a mission to rebuild capital markets from the ground up. T7X is rewriting the rules of securities issuance. Built on compliance-first blockchain infrastructure, T7X is one of the only platforms in the world where tokenization happens at the moment of issuance. The token is not a wrapper. It is not a proof of ownership. It is the security itself. No intermediaries. No receipts. No synthetic exposure. Just direct, programmable ownership of real assets, issued inside U.S. securities law from day one. Where legacy markets restricted access to capital formation behind layers of gatekeepers, T7X tears that down. Investors get 24/7 liquidity. Issuers get a direct line to capital. And every transaction settles on-chain, transparently, in real time. Capital Markets. Rebuilt. A Forbes contributor, Ivan writes on market structure, the future of ownership, and the infrastructure decisions that will determine whether tokenization delivers on its promise or repeats the same failures with better branding. Beyond his operating role, Ivan is a global entrepreneur with one successful exit and an active portfolio as an investor and board member across disruptive technology companies and early-stage ventures.",,,https://api.rareevo.io/storage/domains/rareevo.io/participants/profile/ivan_kan.png,,,,,,active,Rare Evo 2026 (Main),180,Rare Evo 2026
Jack Briggs,Executive Director,Intersect,,,,https://api.rareevo.io/storage/domains/dev.rareevo.io/participants/profile/S0f4qUdbKXofg45hCbOEyabieg0xXtclYz98DejT.png,,,,,,active,Rare Evo 2026 (Main); Dev/Gov Day,89,Rare Evo 2026
