full_name,title,company,bio,talk_title,photo_url,social_links,event,source_category
Maarten Haijer,Secretary General,European Gaming and Betting Association (EGBA),Maarten Haijer is the Secretary General of the European Gaming and Betting Association (EGBA) representing the leading online gambling operators licensed and regulated in the EU. Before joining the EGBA as director for regulatory affairs Maarten worked as the internal market and consumer protection counsellor at the Netherlands permanent representation to the EU. Prior to that he held several positions in the Dutch ministry of economic affairs dealing predominantly with EU and WTO trade policy issues.,,https://tickets.sigma.world/img/speakers/tmp/speaker-1724-1758120937.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Dott. Antonio Giuliani,Manager,Italian Customs and Monopolies Agency (ADM),"With a solid background in public administration focused on gaming regulation, Giuliani is responsible for ensuring a balance between player protection, market legality, and payment security. He is an expert in the regulations governing online gambling, promoting practices that ensure transparency and reliability in the payment systems used in the sector. His contribution is crucial in addressing challenges related to technological innovation and the need for control and fraud prevention, fostering sustainable development of remote gaming in Italy.",,https://tickets.sigma.world/img/speakers/tmp/speaker-2170-1761744468.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Moreno Marasco,Chairman,LOGiCO,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1913-1759934803.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Prof. Pieris Chourides,President,Cyprus Gaming and Casino Supervision Commission,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1426-1750924287.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Panagiotis Trisokkas,President,Cyprus National Betting Authority,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1425-1750924249.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Alexsandar Popov,Director,Directorate Supervision of Gambling and Gambling Activities – Bulgaria,"Aleksandar Popov is currently director of the Directorate Supervision of gambling and gambling activities in the National Revenue Agency of Bulgaria. Aleksandar has significant experience in the area of control of public funds, mainly European funding. He possesses a master's degree in Law and Public Administration and a PhD in Political science, is a certified auditor in the public sector and has been a speaker at ICE London.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1443-1751960072.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Giuseppe Marino,President,Italian-Cypriot Chamber of Commerce,"Giuseppe Marino is an international AML and Financial Crime Expert with extensive consulting experience in corporate due diligence and compliance frameworks. Specializing in strategic legal advisory services, he has developed comprehensive expertise in B2B and B2G relationships across European and Middle Eastern markets. He is one of the founders and currently serves as President of the Italian-Cypriot Chamber of Commerce.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1789-1758632187.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Jānis Ungurs,Director of the Legal Department,Lotteries and Gambling Supervisory Inspection – Latvia,"Janis Ungurs is a legal professional with over 20 years experience, specialising in gambling regulation and IT. Since 2006, he has directed the Legal Department at Latvia's Lotteries and Gambling Supervisory Inspectorate, overseeing legal frameworks. licensing, litigation and international cooperation in gaming regulation.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1428-1750932275.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Renato Loiero,Budget Policy Advisor to the Prime Minister of Italy,,"Renato Loiero, Parliamentary Advisor to the Senate of the Republic with 23 years of seniority, is currently Budget Policy Advisor to the Prime Minister, Giorgia Meloni. He is a member of the technical committee for the implementation of the tax reform. During his service in the Senate, he was initially assigned to the Research Service (economic area), tasked with assisting Committees V (Budget and Economic Planning) and VI (Finance). He was then assigned to the Parliamentary Commissions Service, where he served as a member of the secretariat of Committees V (Budget) and VI (Finance). In the XV legislature, he also served as Head of the Secretariat of the Parliamentary Commission for the Supervision of the Tax Registry. In the XVI legislature, he was also responsible for the Secretariat of the Extraordinary Commission for Price Control. He was president of the Commission for the Quality Assurance of Statistical Information. He is the author of numerous monographs and articles on tax and financial matters. In the past, he also served at the Ministry of Economy and Finance – Lombardy Regional Directorate and as an officer of the Finance Police.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1820-1759137900.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Stefano Menghinello,"Head of Department for Economic and Environmental Statistics, National Accounts",ISTAT,"Stefano Menghinello, Research Director, is currently the Head of Department for Economic and Environmental Statistics, National Accounts at ISTAT, the Italian NSO. He a member of the Board (ex Chair) of the United Nations Committee of Experts on Business and Trade Statistics (CEBTS) and, previously, Chair of the OECD Working Party on Industrial Globalization. He has conducted research in economic statistics, industrial, international, and regional economics. Contract professor at the Faculty of Civil and Industrial Engineering of the Sapienza University of Rome. He holds a PhD in industrial economics and internal business at the University of Birmingham (UK), he has published in national and international journals.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1821-1759139380.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Dr Emanuele Canegrati,"Economist, Member of Villa Vigoni",,"Dr. Emanuele Canegrati is an economist at the Italian Presidency of the Council of Ministers, focusing on Next Generation EU Fund. He is also a member of the Collegio degli Esperti at the National Council for Economics and Labour (CNEL). Dr. Canegrati holds a PhD in Public Economics and Finance from the Catholic University of Milan and was a Visiting Researcher at the London School of Economics. He is head of the Economic Department of the Scientific Council of Fondazione Magna Carta in Rome.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1823-1759139621.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Antonio Barreca,Director General,Federturismo Confindustria,"Since 2011, Antonio Barreca has served as Director General of Federturismo Confindustria, the Italian federation that brings together the entire national tourism industry, representing 23 trade associations. He graduated with honors in Political Science from Luiss Guido Carli, earned a PhD in Comparative Public Law at the University of Perugia (2008), and pursued advanced studies at Harvard’s John F. Kennedy School of Government (2013, 2015). Before his current role, he worked with the Department of Economic Affairs at the Italian Prime Minister’s Office, then spent 10 years in Brussels as Director of Federturismo’s European Affairs Office, engaging with institutions such as the European Economic and Social Committee, the European Commission, and the European Parliament. An academic by vocation, he has taught for more than a decade at Luiss Guido Carli and Luiss Business School—where he also sits on the Scientific Committee of the Master in Tourism Management—as well as other universities. He has held institutional roles as Vice President of the UNI Tourism Commission and special delegate to ISO in Geneva, and served as Special Advisor on Tourism for the Sicilian Region. Currently, he is also Coordinator of the European network of Confindustria tourism federations, Director of AIDIT, and Vice President and co-founder of Turismi.ai. He speaks four languages fluently.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1854-1759394361.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Nicola Vladimiro Ciccarelli,Vice President,Confindustria Alberghi,"He is the President of the Lupelius Financial Group and founder of the Swadeshi Hotels chain. Currently serving as National Vice President of Confindustria Alberghi, he is an entrepreneur, promoter, and partner in several companies primarily operating in the real estate and tourism sectors. A finance and innovation enthusiast, he served for over five years as an Adjunct Professor of Finance for Innovation at the Faculty of Management and Logistics Engineering at the University of Trieste. He is also the author of “Manual of Finance for Innovation,” published by Unilink University Press. He holds various positions, including President of Fontur – the Healthcare Assistance Fund for the tourism sector; Board Member of the Bilateral Body for the Tourism Industry and Vice President of EBTL; Board Member of the Tourism International Forum and several Tourism Districts; and President of Golf des Iles de Borromées on Lake Maggiore.",,https://tickets.sigma.world/img/speakers/tmp/speaker-2014-1760697967.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Giuseppe Roscioli,President,Federalberghi – Rome,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1876-1759741692.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Ivan Filletti,CEO,GamingMalta,"Ivan Filletti has served as CEO of the GamingMalta Foundation since 2016, leading efforts to position Malta as a global leader in the gaming sector. Established by the Government of Malta and the Malta Gaming Authority (MGA), the Foundation under Ivan's guidance has significantly enhanced Malta's reputation as a jurisdiction for gaming innovation. In addition to his responsibilities as CEO, Ivan chairs the government-backed iGaming Council, where he continues to shape regulatory frameworks and advance Malta's prominence in global gaming.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1797-1758718016.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Felice Mariani,Olympic Medalist & Former National Judo Coach of Italy,,"Felice Mariani is a distinguished Italian sports professional, celebrated both as an elite judoka and as a leader in national and international sporting institutions. A bronze medalist at the 1976 Montreal Olympics, he also earned three World Championship bronzes and three European Championship golds, alongside 11 Italian national titles. Transitioning from athlete to mentor, he has served as Technical Director of the Fiamme Gialle Judo team since 1990 and led the Italian National Judo Team across six Olympic Games, from Seoul to London. Beyond competitive achievements, Mariani served as a Member of the Italian Parliament from March 2018 to October 2022, furthering his commitment to the promotion of sport and social development. Currently collaborating with Sport e Salute, he advances grassroots initiatives nationwide. Recognized as Cavaliere della Repubblica Italiana (1977), inducted into the Judo Hall of Fame (2018), and named Judo Ambassador (2019), he continues to inspire globally.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1848-1759389377.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Fabio Massimo Splendore,Editor,Corriere dello Sport – Stadio,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1833-1759240392.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Anders Dorph,Chair,Gaming Regulators European Forum (GREF),"Anders Dorph is the director of the Danish Gambling Authority. He took up his current position in November 2020 after four years as head of asylum at the Danish Immigration Service. In May 2025, he was appointed Chair of the Gaming Regulators European Forum (GREF) after serving two years as Vice-Chair. Throughout his career, Anders Dorph has worked several years in the Danish Ministry of Justice and served as executive in the Danish police.",,https://tickets.sigma.world/img/speakers/tmp/speaker-2180-1761742968.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Gianfranco Coppola,President,Unione Stampa Sportiva Italiana (USSI),,,https://tickets.sigma.world/img/speakers/tmp/speaker-1955-1760425713.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Demos Katsis,Deputy Mayor,"Limassol, Cyprus","Demos Katsis, born in Limassol, Cyprus, is a founding partner of KATSIS LLC, a law firm with international reach. Formerly a partner at a global firm, he became Deputy Mayor of Limassol in July 2024. A respected law professor, Demos has also served as Cyprus's assistant National Rapporteur for key EU projects on unfair commercial practices and public document legislation, contributing to important legal reforms across Europe.",,https://tickets.sigma.world/img/speakers/tmp/speaker-945-1760026925.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Kenneth Brincat,CEO,Malta Digital Innovation Authority (MDIA),"Kenneth Brincat is the CEO of the Malta Digital Innovation Authority. With 25 years of experience in management and digital transformation, Kenneth is spearheading MDIA 2.0: A driving force in Malta's digital landscape. He is catalysing the national agenda for responsible and human-centric development of artificial intelligence (AI) and the enabling of cybersecurity across industry. Under Kenneth's leadership the Authority adopted a collaborative approach enabling policymakers, industry experts and academia to synergise.",,https://tickets.sigma.world/img/speakers/tmp/speaker-563-1758193800.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Ronni Hartvig,CCO,Betsson Group,"Ronni Hartvig is Chief Commercial Officer at Betsson Group, where he has been a driving force behind the company’s international growth and customer-centric strategy since 2015. Appointed CCO & CMO in 2018, he leads Betsson’s global commercial operations and marketing, delivering innovative, localised, and responsible entertainment experiences across multiple markets. With over 20 years in iGaming, technology, and consumer businesses, and a BSc in Economics, Business, and Administration from Copenhagen Business School, he brings expertise in CRM, data-driven marketing, and brand development. Under his leadership, Betsson has expanded its footprint in LatAm and Europe and strengthened its portfolio through high-profile sports partnerships. Ronni is committed to shaping the future of iGaming by positioning Betsson as a trusted entertainment brand with customer experience at its core.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1939-1760104608.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Alexandre Tomic,Founder,Alea,"Alexandre Tomic is the founder of Alea.com, the multi-award winning company behind several successful B2C and B2B iGaming operations. He is well-known within the online gambling industry, having twenty years of experience in varying aspects ranging from affiliate network, casino operator and game aggregator. He is a biohacking enthusiast and is committed to promoting API governance by bringing best integration practices into the gambling industry.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1454-1757063006.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Dmitry Starostenkov,CEO,EvenBet Gaming,"Dmitry Starostenkov is CEO of EvenBet Gaming, a leader in iGaming innovation and growth. With over 20 years in high-tech and IT, he has led EvenBet since 2004, specialising in poker software, market expansion and strategic management. As a startup founder and frequent speaker, Dmitry is a respected industry thought leader.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1895-1759821902.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Ivan Montik,Founder,SOFTSWISS,"Ivan Montik is the founder of SOFTSWISS. The strongest supporter of cryptocurrency, Ivan empowered SOFTSWISS to become the first company to introduce Bitcoin into the online gambling industry in 2013. From its beginnings as a small outsourcing startup, SOFTSWISS has reached a global scale under Ivan's leadership. Now employing over 2,000 people worldwide and winning over 30 prestigious industry awards.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1816-1759139743.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Richard Dennys,CEO,Game Lounge,"Richard Dennys is the CEO of Game Lounge, an SEO-driven iGaming affiliate company with 131 websites across 39 countries. With over two decades in digital and affiliate marketing, Richard is known for his transformative leadership at companies like PwC, Yell, BBC and Nokia. Since joining Game Lounge in 2024, he has revitalised company culture, emphasising autonomy, work-life balance and continuous learning. Under his leadership, Game Lounge is pioneering the future of iGaming affiliate marketing.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1594-1759240433.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Stepan Dobrovolskiy,CEO,BetBoom LATAM,"Stepan Dobrovolskiy is the CEO at BetBoom LATAM. Stepan is the driving force behind BetBoom’s rapid expansion across Latin America, leading the brand’s focus on esports, entertainment, and innovative fan engagement to redefine online gaming for a new generation of players.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1783-1758626754.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Franz Gerhart,CEO,Vyking,"Franz Gerhart is the Chief Executive Officer and Co-Founder of Vyking, an iGaming platform built around modular architecture, operator freedom, and scalable growth. With over 15 years of experience across eCommerce, software development, project management, and strategic leadership, Franz has led hundreds of projects inside and outside the iGaming industry. His background spans server and client-side development, business development, IT sales, and technology driven marketing, giving him a holistic view of how product, performance, and innovation intersect.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1965-1760444569.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Simon Westbury,Strategic Advisor,1xbet,"Simon Westbury, is a leading figure in the iGaming industry with over 18 years of experience. Simon has worked at companies such as Amaya and Digitiain, where he gained a reputation for building high performing commercial teams which delivered record year on year growth. Most recently, Simon was CEO of Sport Generate before moving into his current role with 1xBet where he leads the company’s growth into more regulated markets. Known for his leadership qualities, Simon, leads by example, by empowering his teams to not only deliver but to grow as iGaming professionals. Most recently, Simon was CEO of Sport Generate before moving into his current role with 1xbet where he is tasked with leading the company’s growth into more regulated markets and challenging the status quo.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1573-1759137426.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Alex Gitsik,CMO,Soft2Bet,"Alex Gitsik is Chief Marketing Officer at Soft2Bet, where he leads global marketing strategy, brand growth and player engagement across regulated markets. With more than a decade of marketing leadership experience, he focuses on driving sustainable expansion through a strong performance marketing approach, including innovative and data driven campaigns. His leadership plays a key role in strengthening Soft2Bet's position as a leading iGaming operator.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1853-1759394964.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Andrei Frimescu,Marketing Director,Game World Romania,"Andrei Frimescu is the Marketing Director of Game World, one of the leaders of the Romanian gambling industry. With over thirty years of experience in casino management and marketing, Andrei has worked for live table game operations, poker tournaments, slot machine halls, sports betting shops, studio casino games, and, in recent years, online gambling. He is also an experienced trainer, public speaker and the author of the book ""Casino Marketing Inspired by Music"".",,https://tickets.sigma.world/img/speakers/tmp/speaker-1570-1754922400.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Bernhard Teuchmann,Managing Director of the Product and Technology Division,Novomatic Spain,"Bernhard Teuchmann joined the NOVOMATIC Group in 2008 and since 2012 works as Managing Director of the Product and Technology Division at NOVOMATIC Spain, the Spanish subsidiary of the Austrian gaming industry leader. Since 2015, Teuchmann also holds the presidency of Spanish manufacturers’ association Club de Convergentes, always supporting a transparent dialogue with the different regional gaming boards responsible for land-based gaming. He is also a member of the Executive Committee of EUROMAT since 2025.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1563-1754916855.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
