Company,Website,CEO,CTO,Nationality,Description,Category,Amount_Raised,Round_Type,Date_Raised,Investors,Source
Approxima,https://approxima.ai,,,United States,Your software should build itself.,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Traverse,https://www.traverse.so,,,United States,Research lab solving non-verifiable work,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Maywood,https://maywoodai.com/,,,United States,The first finance-compliant proactive AI that runs 24/7,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Fenrock AI,https://fenrock.ai/,,,United States,AI agents for banking back office,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
End Close,https://endclose.com,,,United States,AI powered reconciliation for high-volume payments companies,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Chamber,https://www.usechamber.io,,,United States,The AIOps Agent for ML Teams,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Patientdesk.ai,https://patientdesk.ai/,,,United States,AI front & back office agent for dental practices ,AI Healthcare,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Synthetic Sciences,https://syntheticsciences.ai/,,,United States,Foundation Models for Scientific Research,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Seeing Systems,https://www.seeing-systems.com,,,United Kingdom,Modular AI-Commanded Drones for Defence,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Cardboard,https://usecardboard.com,,,United States,Agentic video editor,AI Video & Media,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Prana,https://pranadoc.com,,,United States,An AI primary care doctor in your pocket,AI Healthcare,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Rhizome AI,https://rhizomeai.com/,,,United States,Agent Platform for Life Sciences,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Hex Security,https://hex.co?utm_source=bookface&utm_medium=referral&utm_campaign=hex-security-profile,,,United States,Agentic Offensive Security at Scale,AI Security,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Terminal Use,https://www.terminaluse.com/,,,United States,Vercel for background agents,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Overshoot,https://overshoot.ai,,,United States,AI Infra for real-time vision applications,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Proximitty,https://proximitty.ai,,,United States,AI operating system for commercial loans,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Instinct,https://instinct.xyz,,,United States,Trade your instinct,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Stilta,https://stilta.com,,,United States,Agentic AI for intellectual property,AI Legal,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Unisson,https://www.unisson.ai,,,United States,AI agents that automate B2B software implementation,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
IncidentFox,https://incidentfox.ai,,,United States,"AI SRE agent that triages, coordinates, and fixes production incidents",AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Compresr,https://compresr.ai,,,United States,LLM context compression for better accuracy,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Confluence Labs,https://confluence.sh,,,United States,AI models that learn from experience,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Mango Medical,https://mangomedical.io,,,United States,Foundation models for planning orthopedic surgery,AI Healthcare,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Sponge,https://paysponge.com/,,,United States,Financial infrastructure for the agent economy,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Ventura,https://www.ventura.ai,,,United States,AI Workforce for Distributors and Manufacturers,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Orthogonal,https://orthogonal.com,,,United States,Agentic Payments for APIs,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Fern,https://fern.bot,,,United States,Enabling physical AI at scale.,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
EigenPal,https://www.eigenpal.com/,,,United States,AI Document Workflows for Enterprises,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Salus,https://www.usesalus.ai/,,,United States,Guardrails to validate your agent's actions before they execute,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
RamAIn,https://ramain.ai,,,United States,Automate any UI task with natural language,AI Productivity,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
OctaPulse,https://www.tryoctapulse.com/,,,United States,CV and robotics to automate quality inspection in fish farms,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Ashr,https://ashr.io,,,United States,Automated Multi-Modal Testing for Agents,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Aemon,https://aemon.ai/,,,United States,The Forward-Deployed AI Research Engineer ,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Zatanna,https://www.zatanna.ai/,,,United States,Turning all software into agent-first APIs,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Verdex,https://www.verdexai.com/,,,United States,AI Verification for Insurance,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
21st,https://21st.dev,,,United States,Infrastructure and UI building blocks for the agentic internet,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Carson,https://usecarson.com,,,United States,"Carson is a desktop AI app that generates custom, sharable workspaces",AI Productivity,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
CellType,https://www.celltype.com,,,United States,The agentic drug company. We simulate human biology.,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Burt,https://www.burthq.com/,,,United States,AI teammates for logistics,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Envariant,https://envariant.ai/,,,United States,Interpretability and reasoning infra for foundation models.,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Beacon Health,https://www.beaconhealth.ai/,,,United States,AI Employees for Primary Care,AI Healthcare,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Strand AI,https://strandai.com,,,United States,Multimodal foundation models to predict uncollected patient biology,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
BaseFrame,https://baseframe.co,,,United States,Detect what AI can automate for your team,AI Productivity,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Cofia,https://cofia.ai,,,United States,AI automations that implement themselves,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Sentrial,https://sentrial.com/,,,United States,Datadog for Agent Reliability,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
10x Science,https://10xscience.com,,,United States,The AI-native platform for next-generation protein characterization.,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Lexius,https://www.lexius.ai,,,United States,AI for Corporate Security Cameras,AI Security,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Axis,https://axisanalysis.com,,,United States,An AI Copilot for Trading Desks,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Lance,https://www.lance.live,,,United States,AI Agents That Run Hotel Operations.,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
RunAnywhere,https://www.runanywhere.ai/,,,United States,The default way of running on-device AI at Scale,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Lucent,https://lucenthq.com,,,United States,AI that automatically improves products from user behavior,AI Productivity,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Kita,https://www.usekita.com/,,,United States,Automate credit review for lenders in emerging markets,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Syntropy,https://syntropy.io,,,United States,The agentic coding app for complex tasks.,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
One Robot,https://www.onerobot.io/,,,United States,World models for robot evals and training.,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Panta,https://pantainsure.com,,,United States,AI Native Commercial Insurance Brokerage ,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Payna,https://payna.com/,,,United States, AI Licensing Agent for Regulated Industries,AI Legal,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Origin,https://origin.bio/,,,United States,AI and Data for Cancer Therapeutics,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
ARC Prize Foundation,https://arcprize.org/,,,United States,AI benchmarks that measure general intelligence and inspire new ideas,AI Developer Tools,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Corvera,https://www.corvera.ai/,,,United States,The context layer for AI-native CPG brands,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
FullSeam,https://fullseam.com,,,United States,AI agents for corporate accounting teams,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Haladir,https://www.haladir.com/,,,United States,Operational Superintelligence for Global Logistics,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
ClaimGlide,https://claimglide.com/,,,United States,AI automated prior-auths for private medical practices,AI Healthcare,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Ndea,https://ndea.com,,,United States,Building AGI that can innovate.,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
General Astronautics,https://generalastro.com/,,,United States,Robotics for Space R&D,AI Robotics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Oxus,https://oxus-ai.com/,,,United States,AI-powered automation for internal audit workflows,AI Enterprise Software,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Captain,https://runcaptain.com,,,United States,Give AI agents accurate knowledge search that scales,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Agentic Fabriq,https://www.agenticfabriq.com,,,United States,Okta for Agents.,AI Security,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Velum Labs,https://www.velum-labs.com/,,,United States,The OS for data quality across any stack,AI Data & Analytics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Pollen,https://www.pollen.cx/,,,United States,AI agents that automate customer success,AI Agents,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Signals,https://www.returnsignals.com,,,United States,Proactive AI customer support that engages high-value users,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Bidflow,https://usebidflow.com,,,United States,AI Takeoffs for Electrical,AI Infrastructure,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Menza,https://menza.ai/,,,United Kingdom,The AI data analyst for consumer brands,AI Data & Analytics,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
Q2Q,https://www.tryq2q.com/,,,United States,We help private equity teams find acquisition targets faster,AI Finance,YC Investment (~$500K),Seed (YC W26),2026-03,Y Combinator,YC API
F2,http://f2.ai,,,United States,The AI platform for private markets investors,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Blue,https://heyblue.com/,,,United States,"Your phone finally has someone to run it. Plug in Blue, just ask.",AI Hardware,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Paloma,https://getpaloma.ai/,,,United States,Digital transformation for real economy businesses,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Uplift AI,https://upliftai.org/,,,United States,Foundational Voice Models for regional languages,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Luminal,https://luminal.com,,,United States,Making AI run fast on any hardware.,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Freya,https://freyavoice.ai/,,,United States,Voice AI for Enterprises,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
burnt,https://getburnt.ai/,,,United States,Agentic Operating System for Food Supply Chain,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Avent,https://www.aventindustrial.com,,,United States,AI agents for industrial commerce,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Veritus,https://www.veritus.com,,,United States,AI agents for the consumer lending industry,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Outrove,https://www.outrove.ai/,,,United States,Ultra-realistic AI Recruiter,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
NOSO LABS,https://noso.so,,,United States,Build AI agents for field technicians to diagnose and sell 10x better,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Vulcan Technologies,https://vulcan.ai/,,,United States,"AI for every law, regulation, and court case",AI Legal,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Bizzy AI,https://www.usebizzy.com/,,,United States,Bizzy works 24/7 so you never miss a lead.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Spotlight Realty,https://www.spotlight.realty,,,United States,AI powered brokerage reducing residential rental commissions in NYC…,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Interfere,https://interfere.com,,,United States,Production visibility for teams that ship fast,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
RowFlow,https://rowflow.ai,,,United States,Replacing forms with AI conversations,AI Productivity,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
TectoAI,https://www.tecto.ai/,,,United States,A Platform for AI Governance,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Modelence,https://modelence.com,,,United States,Build production-ready apps with AI,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Magnetic,https://www.magnetictax.com,,,United States,AI Tax Preparer for CPA firms,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Fleetline,https://fleetline.ai,,,United States,Optimizing fleet planning with data driven algorithms,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
CLODO,https://clodo.ai,,,United States,Planet-scale people discovery.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
stagewise,https://stagewise.io,,,United States,The Open Source Agentic IDE,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Flywheel AI,https://useflywheel.ai/,,,United States,Waymo for excavators,AI Robotics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Okibi,https://okibi.ai,,,United States,"Build AI coworkers using natural language, it's Lovable for agents",AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Rebulk,https://www.rebulk.com,,,United States,Accurately measure and monitor bulk inventory,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
KERNEL,https://www.kernel.sh,,,United States,"Crazy fast, open source infra for AI agents to use the Internet",AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Reacher,https://reacherapp.com/,,,United States,We automate creator marketing for the world's largest brands,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Certus AI,https://www.certus-ai.com/,,,United States,Replacing the restaurant phone line with Voice AI,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Hera,https://hera.video/,,,United States,AI Motion Designer,AI Video & Media,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Notte,https://www.notte.cc/,,,United States,Reliable Web Agents for Enterprise,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Pally,https://pally.com,,,United States,Intelligent Unified Inbox + Personal CRM,AI Productivity,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Locata,https://www.locatahealth.com/,,,United States,AI Referral Automation for Primary Care Clinics,AI Healthcare,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Pleom,https://pleom.com,,,United States,Agentic Business Intelligence,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
SigmanticAI,https://www.sigmanticai.com,,,United States,The Cursor for Chip Design - Delivering Silicon-Ready Chip Designs…,AI Hardware,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Sira,https://sira.team,,,United States,AI Native Rippling for Deskless Workers,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Quotain,https://quotain.com,,,United States,AI sales simulations using your real deals,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Altur,https://altur.io,,,Latin America,Voice AI Agents for Debt Collection,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
PARES AI,https://www.pares.ai/,,,United States,AI-native real estate services firm,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Nautilus,https://nautilus.co,,,United States,AI platform to grow and to optimize car washes,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Humoniq,https://humoniq.ai,,,United States,AI-Native BPO for travel & transport,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Maximal,https://www.trymaximal.com,,,United States,Truckload Planning at Machine Precision,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Floot,https://floot.com,,,United States,The easiest way for non-coders to build apps with AI.,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Alara,http://alaradental.com,,,United States,Procurement Platform for Dental Offices,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Socratix AI,https://getsocratix.ai,,,United States,AI coworkers for fraud and risk teams.,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Minimal AI,https://gominimal.ai/,,,United States,AI Agents for E-commerce Customer Support,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Risely AI,https://www.risely.ai/,,,United States,AI agents that automate administrative work across college campuses. ,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Omnara,https://omnara.com,,,United States,Mobile & Web Interface for Claude Code & Codex,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Knowlify,https://www.knowlify.com/,,,United States,The AI Explainer Video Maker,AI Video & Media,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Autosana,https://autosana.ai,,,United States,AI agents for E2E testing across mobile & web,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
