name,org,handle,social,icp_score,icp_reason,tweet_count,outreach_message
,,@whileydave,,,,,"ConsenSys sits at the intersection of more critical Ethereum infrastructure than almost anyone — MetaMask, Infura, Linea — which means architectural decisions made across those layers compound in ways that get harder to untangle with scale. The cost of a wrong assumption at that depth isn't a single incident, it's a pattern that becomes structural. FP Block's Kolme framework gives teams dedicated execution with full ecosystem reach, specifically for systems where the blast radius of being wrong is too large to absorb. Would you have 20 minutes at EthCC in Cannes?"
GREG SWIRSKI,REILABS,@gswirski,https://x.com/gswirski,82,ZK cryptography bugs are irreversible; correctness is existential,0,"ZK cryptography tooling is one of the few places where a correctness error isn't just a bug — it's a fundamental break in the trust that downstream systems are built on, and it can't be quietly patched. ReiLabs sits at that layer, which puts you in a category where 'ship fast and fix later' simply doesn't apply. FP Block built Kolme for teams like yours — where the permanence of the output demands the ownership of the environment. Would you have 20 minutes at EthCC in Cannes?"
JORDI BAYLINA,ZISK,@jbaylina,https://x.com/jbaylina,80,ZK proving infra; proof failures have downstream financial consequence,10,Spinning out from Polygon with seven people to continue ZisK as an independent project is exactly the kind of decision that looks like a speed tradeoff but is really an ownership decision — you chose to control the proving system rather than be a feature inside someone else's roadmap. That instinct is what FP Block is built around: Kolme gives teams dedicated execution so the critical infrastructure they build stays theirs. Would you have 20 minutes at EthCC in Cannes to compare notes on where that boundary sits?
JAN GORZNY,ZIRCUIT,@jgorzny,https://x.com/jgorzny,85,ZK L2 with locked funds and novel sequencer security model,0,"Building a ZK rollup with AI-powered sequencer-level quarantining is an interesting architectural bet — you're essentially making the claim that the right place to stop a bad transaction is before it finalizes, not after. The permanence assumption embedded in that design is the right one, and it's rare. FP Block built Kolme for teams building systems under exactly that kind of irreversibility constraint. Would you have 20 minutes at EthCC in Cannes to talk through how Zircuit draws those lines?"
,,@mona_el_isa,,,,,"Teaching on-chain asset management at Oxford is the signal that this is no longer a niche infrastructure question — it's a governance and accountability question that institutions are now taking seriously. The gap between 'fund managers using DeFi' and 'fund managers owning what they run on' is where Avantgarde sits, and where the permanent costs of the wrong architecture show up. FP Block built Kolme for teams at that inflection. Would you have 20 minutes at EthCC in Cannes?"
ECE ORSEL,HACKEN,@lopatsi,https://x.com/lopatsi,85,"Security firm; audit misses cause direct, irreversible client losses",0,"Security auditing at scale means the cost of a miss isn't yours alone — it belongs to every user of the protocol you reviewed, permanently, on a public ledger. That's a different kind of accountability than most professional services carry. FP Block works with the teams on the other side of your audits — the ones building systems where correctness isn't optional — and Kolme gives them the infrastructure ownership that makes your recommendations implementable. Would you have 20 minutes at EthCC in Cannes?"
ANTHONY CARAVELLO,SHUTTER NETWORK,@acaravello,https://x.com/acaravello,76,MEV/front-running protection for live funds; cryptographic failure has direct financial impact,0,"Shutter's bet — that the right time to stop front-running is before the transaction is visible, not after — is an architectural decision that has to be right the first time, because retrofitting cryptographic ordering guarantees into live systems is essentially impossible. Threshold encryption at that layer is load-bearing infrastructure, and its failure is immediate and measurable. FP Block built Kolme for teams making that kind of permanent architectural commitment. Would you have 20 minutes at EthCC in Cannes?"
BEN FISCH,ESPRESSO SYSTEMS,@benafisch,https://x.com/benafisch,85,Sequencer failures freeze L2 funds; persistent systemic risk,10,A decentralized sequencer is one of those infrastructure layers that looks optional until an L2 with real TVL has a sequencer failure — and then it becomes obvious that the single point of failure was always load-bearing. Espresso is solving a problem that gets more expensive to ignore with every billion that moves through L2s. FP Block built Kolme for teams at exactly that inflection point between shared infrastructure risk and owned execution. Would you have 20 minutes at EthCC in Cannes?
,,@0xpenryn,,,,,"""I haven't been this bullish on what Ethereum can achieve since TheDAO"" — and TheDAO is exactly the reference point worth keeping in mind, because the scale of ambition and the permanence of failure scale together. World Foundation's iris-biometric identity layer is the kind of system where an error in how personhood is recorded isn't fixable with a hotfix. FP Block built Kolme for teams operating at that intersection of scale and irreversibility. Would you have 20 minutes at EthCC in Cannes?"
REKA MEDVECZ,BOUNDLESS,@reka_eth,https://x.com/reka_eth,80,ZK infra; correctness failures break dependent on-chain systems,10,Launching a ZK proof marketplace because you're most bullish on the underlying technology is the right reason — and it's also the moment where foundational architectural decisions get locked in before the market fully understands what it's depending on. The choices you make now about how proof generation is owned and verified become very hard to revisit once protocols build on top. FP Block's Kolme framework is built for exactly that window. Would you have 20 minutes at EthCC in Cannes?
CHARLES D'HAUSSY,DYDX,@charlesdhaussy,https://x.com/charlesdhaussy,88,DEX with locked funds; bugs cause irreversible trader losses,0,"Running a perpetuals exchange on its own appchain means every architectural decision dYdX has made is now load-bearing across billions in daily trading volume, with on-chain settlement that's final by design. The gap between 'we control our sequencer' and 'we own the infrastructure underneath it' is where the permanent costs live. FP Block built Kolme for exactly that type of team — full ownership, full interoperability. Would you have 20 minutes at EthCC in Cannes?"
NAHIM TERRAZAS,OPENZEPPELIN,@nahimdhaney,https://x.com/nahimdhaney,90,Library bugs affect ecosystem-wide TVL; highest systemic stakes,10,"OpenZeppelin's libraries are the foundation that hundreds of billions in deployed contracts depend on — which means a correctness decision made in the library propagates to every protocol that imports it, silently, permanently. That's the most consequential form of systemic exposure in the ecosystem. FP Block works with the teams building on top of that foundation, and Kolme gives them dedicated infrastructure so the contracts they ship stay owned and auditable. Would you have 20 minutes at EthCC in Cannes?"
,,@nadianaise,,,,,"Wrapping Bitcoin 1:1 on Ethereum means the custodied BTC is the backing, and an error in custody or in the bridge is measured in actual Bitcoin — irreversibly, at scale. WBTC sits at the intersection of two different finality models, and the cost of getting the interface between them wrong doesn't announce itself until it's too late. FP Block built Kolme for teams operating across that kind of permanent exposure. Would you have 20 minutes at EthCC in Cannes?"
PAMINA GEORGIEV,CERTORA,@vollmond_sterne,https://x.com/vollmond_sterne,90,Formal verification for protocols holding billions; errors are catastrophic,10,"The day you helped recover $4.1M was the most stressful day in three and a half years — which is the signal that formal verification isn't just a quality metric, it's the difference between a day like that and one where recovery isn't possible. Certora sits at the top of the stack where correctness is existential. FP Block works with the teams your work protects, and Kolme gives them infrastructure ownership that makes formal guarantees implementable end to end. Would you have 20 minutes at EthCC in Cannes?"
TOMER GANOR,CERTOTA,@tomer_ganor,https://x.com/tomer_ganor,85,"Audit misses cause direct, unrecoverable client losses",0,"Smart contract auditing is one of the few disciplines where the output of your work becomes someone else's permanent operational reality — if you miss something, it doesn't surface as a PR comment, it surfaces as a protocol incident. Certora's formal verification approach raises the bar specifically because it makes that risk calculable before deployment. FP Block works with teams building systems that need to survive that standard. Would you have 20 minutes at EthCC in Cannes?"
SHRAVAN SRINIVASAN,LAGRANGE LABS,@s_shravan,https://x.com/s_shravan,88,ZK proof errors compromise verifiability of systems relying on proofs,0,A ZK coprocessor that lets contracts run verifiable computation over historical state is elegant until you consider that the protocols depending on its proofs have no recourse if the proofs are wrong — correctness is the entire product. Lagrange sits at a layer where the blast radius of a proof error is measured by what's built on top. FP Block built Kolme for teams operating under that kind of permanence constraint. Would you have 20 minutes at EthCC in Cannes?
JOHANNES KERN,FRANKENCOIN ASSOCIATION,@jonk93,https://x.com/jonk93,80,Stablecoin issuer; de-peg or exploit is permanent user harm,0,"A governance-minimized stablecoin is a deliberate bet that the collateral mechanism is correct and doesn't need a committee to fix it — which means the initial design carries more permanent weight than most financial products. Frankencoin's peg is only as good as the assumptions baked in at launch. FP Block built Kolme for teams making that kind of irreversible architectural commitment, where ownership of the execution environment is the only real safety net. Would you have 20 minutes at EthCC in Cannes?"
,,@aliceandb0b,,,,,"Formal verification exists because certain systems can't afford to learn from failure at runtime — the correctness has to be proven before anything runs. Certora occupies the highest-stakes position in the stack, and the teams that benefit most from your work are the ones where a missed property isn't a bug, it's a permanent loss event. FP Block builds infrastructure for exactly those teams. Would you have 20 minutes at EthCC in Cannes?"
ZK_EVM,LINEA,@zk_evm,https://x.com/zk_evm,78,L2 bugs lock or lose user funds; some upgradeability mitigates risk,0,"A zkEVM L2 inherits Ethereum's security through validity proofs — which is a stronger guarantee than optimistic rollups, but it also means that a flaw in the proof system isn't correctable with a fraud proof window. The permanence is the product, and the correctness of the proving system is load-bearing. FP Block built Kolme for teams at that inflection point. Would you have 20 minutes at EthCC in Cannes to compare notes on where Linea draws those lines?"
MAX LOMU,ARBITRUM,@maxlomu,https://x.com/maxlomu,75,L2 with massive TVL; sequencer errors have broad financial impact,10,"You spent a weekend thinking through governance criteria for Arbitrum DAO grants — which is exactly the right instinct, because the capital allocation decisions made by a governance system at that scale become structural in ways that are hard to reverse once the ecosystem builds around them. FP Block works with teams at that inflection between fast-moving and load-bearing. Kolme gives them dedicated infrastructure to own. Would you have 20 minutes at EthCC in Cannes?"
,,@defi_made_here,,,,,"Your breakdown of the Terra/Luna collapse — and its consequences outside the ecosystem — is one of the clearest accounts of what happens when a system built on interlocking assumptions meets the edge case those assumptions didn't account for. Fluid's unified lending/DEX design amplifies that dynamic: good debt and bad debt share the same liquidity, which means errors propagate in both directions permanently. FP Block built Kolme for teams building systems where that kind of failure isn't an option. Would you have 20 minutes at EthCC in Cannes?"
,,@conormcmenamin9,,,,,"Maintaining a production Ethereum execution client means a bug in your code doesn't affect a single protocol — it affects network consensus, with no clean rollback and no quiet fix. Nethermind sits at the layer where correctness is existential and ownership of the client is the only meaningful safety net. FP Block builds infrastructure for teams operating under that kind of permanence pressure. Would you have 20 minutes at EthCC in Cannes?"
STEFANO DE ANGELIS,NETHERMIND,@_deanstef,https://x.com/_deanstef,80,Client bugs affect Ethereum consensus; high systemic stakes,0,"Consensus client bugs are one of the few failure modes in this space that can't be localized — they propagate across the network before anyone can intervene, and the recovery is coordinated at a level that makes 'move fast' genuinely dangerous. Nethermind's position in that stack means the correctness decisions you make carry permanent weight. FP Block built Kolme for teams building systems with that kind of irreversibility exposure. Would you have 20 minutes at EthCC in Cannes?"
ERNESTO GARCÍA,OPENZEPPELIN,@ernestognw,https://x.com/ernestognw,90,Library bugs affect ecosystem-wide TVL; highest systemic stakes,0,"OpenZeppelin's contracts are imported by protocols that collectively hold hundreds of billions — which means a correctness decision made in the library becomes someone else's permanent operational assumption, silently, at scale. That's the most consequential form of trust in the ecosystem. FP Block works with the teams building on top, and Kolme gives them dedicated infrastructure so the systems they ship stay owned and auditable. Would you have 20 minutes at EthCC in Cannes?"
AMXX,OPENZEPPELIN,@amxx,https://x.com/amxx,90,Library bugs affect ecosystem-wide TVL; highest systemic stakes,0,"The correctness decisions made in OpenZeppelin's contracts don't belong to a single protocol — they belong to every protocol that imports them, which means a missed edge case propagates silently across the ecosystem at scale. That's a fundamentally different kind of responsibility than building one system. FP Block builds infrastructure for teams at the other end of that dependency chain, and Kolme gives them the ownership to act on your guarantees. Would you have 20 minutes at EthCC in Cannes?"
,,@nataliepropy,,,,,"Your point about using settlement contracts as the source of truth for property ownership is exactly right — and it's also the design decision that makes correctness non-optional, because a property record that can't be trusted isn't better than the paper it replaced. Real estate title is one of the few on-chain use cases where an error isn't a bug, it's a legal dispute with permanent consequences. FP Block built Kolme for teams building systems at that standard. Would you have 20 minutes at EthCC in Cannes?"
FRIEDERIKE ERNST,GNOSIS,@tw_tter,https://x.com/tw_tter,88,Safe secures $100B+; multisig bugs are catastrophic and final,10,"Safe secures over $100 billion in assets, which means the multisig logic that Gnosis ships is load-bearing infrastructure for a meaningful fraction of institutional capital in this space — and a bug in it isn't a protocol incident, it's a systemic event. That's the definition of a system where ownership and correctness matter more than iteration speed. FP Block built Kolme for teams operating at that layer of permanence. Would you have 20 minutes at EthCC in Cannes?"
STEPHAN DUAN,ZKM,@sd_eigen,https://x.com/sd_eigen,78,Universal ZK infra with cross-chain settlement finality risk,0,"A universal ZK proof layer that makes any chain verifiable is an ambitious claim, and the interesting risk is that the more chains depend on your proofs for settlement finality, the more load-bearing your correctness assumptions become — quietly, incrementally. ZKM sits at a layer where the cost of being wrong is inherited by everything built on top. FP Block built Kolme for exactly that category of team. Would you have 20 minutes at EthCC in Cannes?"
ERIC ZHONG,UNISWAP LABS,@_ericzhong,https://x.com/_ericzhong,78,Massive TVL DEX; smart contract bugs cause irreversible losses,0,"At the scale Uniswap routes, the smart contract decisions made during deployment are now permanent architectural features that hundreds of billions in annual trading volume depends on. The gap between 'this was the right tradeoff then' and 'this is the right tradeoff now' closes slowly, and expensively. FP Block built Kolme for teams building financial infrastructure where that gap can't be quietly resolved with an upgrade. Would you have 20 minutes at EthCC in Cannes?"
ANDY M. LEE,MAMORI,@andymooselee,https://x.com/andymooselee,83,Security failures directly cause irreversible on-chain fund loss,0,"Real-time transaction guardrails are only as good as the speed at which they can intervene — and the systems they're protecting are ones where a missed exploit isn't a learning opportunity, it's a permanent loss event. Mamori sits right at that line. FP Block built Kolme for the teams Mamori protects: systems where the infrastructure underneath needs to be owned, not shared, for the guardrails to actually hold. Would you have 20 minutes at EthCC in Cannes?"
KONY KWONG,GAIB,@konyk001,https://x.com/konyk001,82,RWA tokenization; legal and financial errors are persistent,10,"Tokenizing AI compute infrastructure as a yield-bearing asset is a genuinely novel intersection — which means the legal and financial permanence of that structure is being defined right now, in real-time, without a lot of precedent to draw from. The decisions GAIB makes in the next year about how that infrastructure is owned and governed will be very hard to revisit later. FP Block built Kolme for teams in exactly that window. Would you have 20 minutes at EthCC in Cannes?"
ALEXANDER,MIDEN,@alexanderlee314,https://x.com/alexanderlee314,87,ZK VM bugs undermine proof validity and privacy guarantees at protocol level,10,"Your observation about CoW swap — one solver profitable, the rest losing — is exactly the kind of thing that looks like a market efficiency story until you realize the execution environment is the variable. Building a zkCLOB on Miden where traders are completely anonymous and orders settle provably is the right architecture, because you're eliminating the category of errors that come from trusting the infrastructure to be neutral. FP Block built Kolme for teams making that kind of commitment to owned execution. Would you have 20 minutes at EthCC in Cannes?"
ALBICODES,FLASHBOTS X,@albicodes,https://x.com/albicodes,82,MEV bugs affect live chain value; protocol errors are costly and public,10,MEV research is interesting precisely because it reveals the gap between what a protocol says it does and what actually happens when block builders optimize for value — and the cost of that gap is borne by the users who trusted the protocol's stated behavior. Flashbots X sits at the layer where that gap is either closed or exploited. FP Block built Kolme for teams that want to own the execution environment rather than inherit someone else's ordering assumptions. Would you have 20 minutes at EthCC in Cannes?
HONG KIM,BITWISE ASSET MANAGEMENT,@hongkim__,https://x.com/hongkim__,82,Regulated asset manager; errors carry legal/fiduciary cost,10,"The care you put into Bitwise's Bitcoin ETF donation mechanism — no strings attached, designed to last beyond any particular market cycle — is the same instinct that matters when you're managing regulated assets at scale: the decisions you make about structure and governance outlast the moment you made them. FP Block works with regulated asset managers and Kolme gives them the infrastructure ownership to match that standard. Would you have 20 minutes at EthCC in Cannes?"
,,@lowbeta_,,,,,Managing multi-billion dollar regulated crypto investment products means the compliance decisions Grayscale makes now are load-bearing in ways that will be audited and litigated regardless of what the market does. The cost of an architectural error in a regulated fund isn't a reputational incident — it's a legal one with permanent consequences. FP Block built Kolme for teams operating at that intersection of capital scale and regulatory permanence. Would you have 20 minutes at EthCC in Cannes?
ALAN LI,BREVIS,@brevis_zk,https://x.com/brevis_zk,82,ZK infra powering live contracts; bugs corrupt dependent protocols,0,"A ZK coprocessor that lets contracts trustlessly access historical on-chain state is elegant infrastructure — and the protocols that build on top of it are implicitly trusting that the proofs are correct, permanently, for decisions they've already made on-chain. Brevis sits at a layer where correctness isn't a feature, it's the entire product guarantee. FP Block built Kolme for teams operating under that kind of permanence constraint. Would you have 20 minutes at EthCC in Cannes?"
SUKI YANG,ICON TRADING,@tradergirlsuki,https://twitter.com/tradergirlsuki,83,"Trading desk; errors mean permanent capital loss, no undo",0,"Proprietary market-making algorithms are one of the few places where an execution error doesn't surface as a warning — it surfaces as a direct, unrecoverable capital loss, in real time, with no appeals process. Icon Trading operates at that edge, which means the infrastructure decisions you make about ownership and failure modes carry a different weight than most engineering problems. FP Block built Kolme for teams that live in that category. Would you have 20 minutes at EthCC in Cannes?"
GIO,PARITY TECHNOLOGIES,@gioyik,https://x.com/gioyik,83,Blockchain runtime bugs halt networks; systemic and irreversible,0,"Parity's Substrate framework is the substrate that sovereign blockchains run on — which means a runtime bug doesn't affect one protocol, it can halt entire networks that chose to build on your foundation. That's a fundamentally different kind of accountability than shipping a single product. FP Block built Kolme for teams that sit at that layer of permanence, where correctness is a precondition for everyone building downstream. Would you have 20 minutes at EthCC in Cannes?"
YOICHI HIRAI,ZKSECURITY,@pirapira,https://x.com/pirapira,92,Auditing ZK systems where bugs cause irreversible financial loss,0,"ZK circuit auditing is the rarest and most consequential form of security review — because a flaw in a proof circuit isn't a runtime bug, it's a broken guarantee that every system depending on those proofs has inherited silently. ZKSecurity occupies the top of that stack. FP Block works with the teams building the systems your audits protect, and Kolme gives them infrastructure ownership that makes cryptographic correctness enforceable end to end. Would you have 20 minutes at EthCC in Cannes?"
,,@mydogeceo,,,,,"Building a decentralized, algorithmically stabilized currency layer is one of the most consequential architectural bets in this space — because a de-peg event isn't a product failure, it's a permanent loss for every holder, with no backstop and no undo. DogeOS is making that bet with conviction, which means the infrastructure underneath it needs to match that standard of ownership and correctness. FP Block built Kolme for exactly that kind of team. Would you have 20 minutes at EthCC in Cannes?"
BIANCA BUZEA,CHRONICLE,@buzea200,https://x.com/buzea200,85,Oracle feeds underpin collateral pricing; wrong data = protocol insolvency,10,"Oracle price feeds are the silent assumption that DeFi collateral pricing depends on — wrong data doesn't trigger an error, it triggers a liquidation cascade that looks correct until it isn't. Chronicle's verifiable attestation model is the right architecture precisely because it makes that assumption auditable rather than inherited. FP Block works with the protocols that depend on feeds like yours, and Kolme gives them the infrastructure ownership to match that standard. Would you have 20 minutes at EthCC in Cannes?"
DEFINIKOLA,BLOCK ANALITICA,@definikola,https://x.com/definikola,90,Risk infra for live DeFi protocols with locked capital; MakerDAO exposure,10,"Your breakdown of leveraged stETH-ETH risks on Aave — and the way the liquidation mechanics interact at scale — is exactly the kind of analysis that most teams don't do until after the incident. Block Analitica sits upstream of that, which means the risk models you build for protocols like MakerDAO are load-bearing long before anyone tests them under stress. FP Block built Kolme for the teams on the other side of that: the ones whose infrastructure needs to hold when your models say it won't. Would you have 20 minutes at EthCC in Cannes?"
