icp_score,company,usp,icp_reason
85,MATTER LABS (ZKSYNC),"Matter Labs builds zkSync, a high-throughput zkEVM L2 with native account abstraction and a ZK-secured ecosystem of rollups (Elastic Chain).",ZK L2 with billions locked; proof or bridge bugs cause irreversible loss
85,OBOL,"Builds distributed validator technology (DVT) for Ethereum staking, splitting validator keys across multiple nodes to eliminate single points of failure and protect billions in staked ETH.",Validator key security; slashing mistakes are permanent and costly
85,SPACECOMPUTER,"SpaceComputer builds applied zero-knowledge cryptography tooling and infrastructure that enables private, verifiable computation for sensitive on-chain use cases.",ZK systems; cryptographic correctness failures are catastrophic
85,ZIRCUIT,A ZK-rollup L2 built on Ethereum with AI-powered sequencer-level security to quarantine malicious transactions before finalization.,ZK L2 with locked funds and novel sequencer security model
85,ZIRCUIT L2,A ZK-rollup L2 built on Ethereum with AI-powered sequencer-level security to quarantine malicious transactions before finalization.,ZK L2 with locked funds and novel sequencer security model
83,BABYLON,"Babylon enables native Bitcoin staking without bridging, letting BTC holders earn yield by securing PoS chains while keeping BTC on the Bitcoin mainnet.",Non-custodial BTC at stake; slashing/bugs carry irreversible financial loss
83,CONSENSYS,"ConsenSys is the leading Ethereum software company, building MetaMask, Infura, Linea, and developer tooling that underpins vast swaths of the Ethereum ecosystem.",Critical Ethereum infra provider; failures affect millions of users
83,ICON TRADING,"Operates as a crypto market maker and proprietary trading firm where execution errors, bad risk models, or system failures result in direct, unrecoverable capital losses.","Trading desk; errors mean permanent capital loss, no undo"
83,MAMORI,Mamori provides real-time DeFi security monitoring and transaction guardrails to detect and block exploits before they drain protocol funds.,Security failures directly cause irreversible on-chain fund loss
83,PARITY TECHNOLOGIES,"Core blockchain infrastructure company behind the Polkadot ecosystem and Substrate framework, whose clients build sovereign blockchains where runtime bugs can halt entire networks.",Blockchain runtime bugs halt networks; systemic and irreversible
82,AKTIONARIAT,"Aktionariat enables Swiss SMEs to tokenize their equity on-chain, providing compliant shareholder registries and secondary market infrastructure for private company shares.",Tokenized equity with legal binding; errors are legally consequential
82,BITWISE ASSET MANAGEMENT,"Bitwise manages regulated crypto index funds and ETFs, giving institutional investors compliant exposure to digital assets at scale.",Regulated asset manager; errors carry legal/fiduciary cost
82,BREVIS,"Brevis is a ZK coprocessor that lets smart contracts trustlessly access and compute over historical on-chain data, unlocking powerful data-driven contract logic.",ZK infra powering live contracts; bugs corrupt dependent protocols
82,DE GAULLE FLEURANCE,Leading French law firm with a dedicated digital assets and blockchain practice advising regulated entities on crypto compliance and structuring.,Legal errors in regulated crypto carry persistent liability
82,EULER LABS,"Builds modular, permissionless lending markets on Ethereum where misconfiguration or exploits can result in irreversible loss of pooled user funds.",Lending protocol; exploits caused $200M+ real loss in 2023
82,FLASHBOTS X,"Flashbots X advances MEV research and decentralized block building, shaping how billions in Ethereum block value is extracted and redistributed.",MEV bugs affect live chain value; protocol errors are costly and public
82,GAIB,"Tokenizes AI compute infrastructure as real-world assets, bridging GPU revenue streams on-chain so investors hold yield-bearing tokens backed by physical hardware.",RWA tokenization; legal and financial errors are persistent
82,KILN,"Kiln is enterprise staking infrastructure enabling institutions and protocols to stake assets and earn rewards with white-label, non-custodial tooling.",Slashing or smart contract bugs cause irreversible staked asset loss
82,MME LEGAL,"Switzerland's leading crypto-native law firm advising on regulatory compliance, token structuring, and blockchain transactions where legal errors carry permanent financial and reputational consequences.",Regulated legal services; mistakes carry persistent legal/reputational cost
82,OFFCHAIN LABS,"Develops Arbitrum, Ethereum's largest L2 rollup by TVL, processing billions in transactions with fraud proofs and now decentralizing sequencing, where a bug can freeze or drain locked assets.",Billions in L2 TVL; sequencer or bridge bugs are irreversible
82,REILABS,"ReiLabs builds ZK cryptography tooling and proving systems that power secure, verifiable computation for next-generation blockchain protocols.",ZK cryptography bugs are irreversible; correctness is existential
82,ZENITH,"A platform tokenizing real-world assets on-chain, bridging traditional finance capital with programmable blockchain rails.",RWA tokenization with persistent legal and financial exposure
80,AVANTGARDE FINANCE,"Avantgarde Finance builds on-chain asset management infrastructure using the Enzyme protocol, enabling fund managers to run regulated, transparent investment vehicles on-chain.",On-chain fund management with locked AUM; errors are costly
80,BOUNDLESS,"Boundless is a ZK proof marketplace that lets developers outsource proof generation on demand, making verifiable computation economically viable at scale.",ZK infra; correctness failures break dependent on-chain systems
80,DOGEOS,"Stablecoin protocol building a decentralized, algorithmically stabilized currency layer designed for cross-chain payments and settlement.",Stablecoin failures cause permanent user fund loss
80,FLASHBOTS,"Builds MEV infrastructure including block builders and the SUAVE platform that routes billions in transaction value daily, where bugs can result in validator losses or systemic chain instability.",Critical ordering infra; bugs affect chain-level value extraction
80,FRANKENCOIN ASSOCIATION,"Issues a collateral-backed, governance-minimized stablecoin on Ethereum where peg failures or collateral misconfiguration directly harm holders with no backstop.",Stablecoin issuer; de-peg or exploit is permanent user harm
80,LEAST AUTHORITY,Least Authority is a leading cryptography and blockchain security auditing firm that identifies vulnerabilities in protocols before deployment.,Missed vulnerabilities cause irreversible exploits; reputational and financial stakes
80,LUMIS,Lumis is a crypto-native asset management and trading infrastructure platform focused on institutional portfolio management and execution.,"AUM management errors cause direct, persistent financial loss for clients"
80,NETHERMIND,"Builds and maintains a production Ethereum execution client and provides smart contract auditing, research, and infrastructure services critical to Ethereum network consensus and security.",Client bugs affect Ethereum consensus; high systemic stakes
80,PROPY,"Propy enables end-to-end real estate transactions on-chain, including title transfer and deed recording, reducing fraud risk and settlement time in property sales.",On-chain property title transfers carry persistent legal and financial cost if wrong
80,SCROLL,Scroll is a zkEVM-based Ethereum Layer 2 that uses zero-knowledge proofs to inherit Ethereum's security while enabling faster and cheaper transactions.,ZK proof bugs or rollup errors could freeze or drain bridged user funds
80,WORLD FOUNDATION,World Foundation (Worldcoin) operates a global decentralized identity and financial network using iris-biometric proof-of-personhood to onboard humans to crypto.,Biometric identity at scale; errors carry legal and reputational cost
80,ZISK,A high-performance ZK proving system designed to generate proofs faster and more efficiently for ZK application developers.,ZK proving infra; proof failures have downstream financial consequence
78,AAVE LABS,"Aave Labs develops and maintains Aave, the largest decentralized lending protocol with billions in TVL across multiple chains where smart contract errors mean permanent loss.",Billions locked in on-chain protocol; high-cost mistakes
78,EVERSTAKE,"Operates institutional-grade staking infrastructure across 60+ blockchains, where validator downtime or slashing carries direct, unrecoverable financial penalties for clients.",Slashing risk and custodied assets make errors costly
78,FLUID,"Combines lending and DEX liquidity in a unified protocol where collateral and liquidity positions interact, amplifying the cost of any logic or liquidation errors.",Unified money market; bad debt is persistent and unrecoverable
78,IVAULT,iVault offers self-custodial crypto vaulting with time-locks and recovery mechanisms to protect digital assets from theft and impulsive decisions.,Vault errors cause permanent asset loss; high financial stakes
78,LINEA,Linea is ConsenSys's zkEVM Ethereum L2 rollup offering EVM-equivalent scaling with ZK validity proofs for lower fees and inherited Ethereum security.,L2 bugs lock or lose user funds; some upgradeability mitigates risk
78,MORPHO,"Decentralized lending protocol offering optimized peer-to-peer interest rate matching on top of Aave and Compound, managing billions in user deposits where contract bugs mean irreversible fund loss.",Billions in locked DeFi funds; exploits are irreversible
78,OWN,"Blockchain platform focused on capital markets and asset ownership, enabling regulated issuance and transfer of financial assets on-chain for institutional and enterprise clients.",Regulated capital markets on-chain; legal and financial cost of errors
78,PONOS TECHNOLOGY,Ponos Technology builds ZK-proof hardware and acceleration infrastructure that makes cryptographic verification faster and cheaper for proof-generating networks.,ZK infra correctness errors break downstream proof security
78,UNISWAP LABS,Uniswap Labs builds and maintains the leading decentralized exchange protocol handling hundreds of billions in annual trading volume across multiple chains.,Massive TVL DEX; smart contract bugs cause irreversible losses
78,ZKM,"A universal ZK proof layer enabling any chain to become verifiable, powering a hybrid on-chain/off-chain settlement network.",Universal ZK infra with cross-chain settlement finality risk
76,COW DAO,CoW Protocol is a DEX aggregator and intent-based trading system that uses batch auctions and MEV protection to get users the best on-chain trade execution.,On-chain DEX routing real user funds; solver errors cost traders
76,SHUTTER NETWORK,Shutter Network uses threshold encryption and distributed key generation to prevent front-running and MEV exploitation on Ethereum by hiding transaction content until block inclusion.,MEV/front-running protection for live funds; cryptographic failure has direct financial impact
75,ARBITRUM,"Arbitrum is Ethereum's leading L2 scaling solution, securing tens of billions in TVL across its optimistic rollup chains used by thousands of DeFi applications.",L2 with massive TVL; sequencer errors have broad financial impact
75,COLIBRI.STATELESS,Colibri is a stateless Ethereum client implementation designed to reduce node hardware requirements by eliminating the need to store full state locally.,Core Ethereum client infra; bugs affect network-wide consensus
75,OLYMPIX,"AI-powered smart contract security platform that detects vulnerabilities during development in real time, reducing audit cycles and preventing costly exploits before deployment.",Security tooling; their errors lead to client fund loss
74,WORLD LIBERTY FINANCIAL,World Liberty Financial is a Trump-affiliated DeFi protocol focused on dollar-denominated lending and stablecoin products aimed at mainstream crypto adoption.,High-profile DeFi with political and reputational exposure
72,0XBOW,"0xbow builds privacy-preserving compliance tooling for DeFi, enabling protocols to meet regulatory requirements without sacrificing decentralization.",Regulatory/compliance stakes but still early-stage
72,BOTANIX,"Botanix builds an EVM-compatible layer on top of Bitcoin using a decentralized multisig protocol, enabling DeFi with BTC as the native collateral.",BTC-backed DeFi; significant but still early/upgradeable
72,DIGITAL FINANCE GROUP (DFG),"Asia-based crypto venture capital and investment group deploying capital across early-stage blockchain, DeFi, and Web3 infrastructure projects.",VC misjudgment is costly but loss is financial not irreversible systemic
72,INFURA/DIN,"Infura provides battle-tested Ethereum and multi-chain API infrastructure (including its Decentralized Infrastructure Network) that dApps and wallets depend on for reliable, high-availability node access.",Critical infra but upgradeable; outages hurt but funds not directly at risk
72,KLEROS; SEER,"Kleros and Seer combine decentralized arbitration with prediction markets, creating on-chain dispute resolution and information systems where rulings bind real capital.",On-chain rulings bind funds; errors are costly and visible
72,LOEB & LOEB,"Loeb & Loeb is a prominent US law firm with a dedicated digital assets and blockchain practice advising on token offerings, regulatory compliance, and crypto M&A.",Legal errors cause regulatory and financial liability; high but indirect stakes
72,SEI LABS,"Sei Labs builds the Sei blockchain, a high-performance Layer 1 optimized for trading and financial applications with native order-book primitives and sub-second finality.",Financial trading chain; errors costly but ecosystem still maturing
72,SPARK,Spark is a MakerDAO-affiliated DeFi lending and savings protocol that allows users to borrow DAI and earn yield against on-chain collateral at scale.,Large TVL DeFi protocol; some upgradeability softens risk
72,EVVM.ORG,A payment channel and meta-transaction infrastructure layer enabling gasless and efficient micropayments on Ethereum.,Payment infra with funds in channels but limited scale deployed
70,ANOMA,"Anoma is an intent-centric blockchain protocol enabling private, counterparty-discovery-free transactions using ZK proofs and a novel distributed architecture.",ZK/intent protocol; high technical stakes but pre-mainnet
70,BITMART,BitMart is a global centralized cryptocurrency exchange offering spot and futures trading across hundreds of token pairs to retail and institutional users.,CEX with user funds at risk; operational but historically breach-prone
70,CAFE,"CAFE focuses on crypto security tooling and auditing, helping teams identify and mitigate vulnerabilities before deployment.",Security focus is high-stakes but limited public deployment data
70,DRAGONFLY,"Top-tier global crypto venture capital firm investing in foundational blockchain infrastructure, DeFi, and Web3 protocols at all stages.",VC errors are costly but not operationally irreversible
70,KLEROS,Kleros is a decentralized dispute resolution protocol using incentivized jurors to arbitrate on-chain agreements and oracle disputes.,Rulings are final and bind funds; some irreversibility but limited scale
70,PERPL,"Decentralized perpetuals exchange built for high-performance on-chain derivatives trading, where smart contract or oracle bugs directly expose user margin and protocol liquidity to irreversible loss.",Perps protocol with locked margin; exploits are irreversible
70,REDBELLY NETWORK / THE UNIVERSITY OF SYDNEY,"Redbelly Network is a university-research-backed, deterministic blockchain designed for enterprise and regulated-asset use cases with formally verified consensus.","Regulated-asset focus and formal verification signal high-stakes intent, but still maturing"
70,TELLOR,Tellor is a decentralized oracle protocol that provides tamper-resistant off-chain data feeds to on-chain smart contracts via a crypto-economic dispute layer.,Oracle manipulation causes real losses; medium-scale deployment
68,CORPUS.CORE GMBH / COLIBRI.STATELESS,"Builds a high-performance, stateless Ethereum execution client to strengthen protocol-layer client diversity and network resilience.",Ethereum client software; bugs have network-level impact
68,CURVY,Privacy-preserving crypto protocol enabling confidential transactions and shielded DeFi interactions without sacrificing composability.,Privacy infra errors expose users; partially upgradeable
68,ETHEREAL VENTURES,"Early-stage crypto venture fund focused on backing foundational Web3 infrastructure, DeFi primitives, and developer tooling at the seed stage.",VC with DeFi infra focus; some irreversible exposure via portfolio
68,MOONWELL,"Open DeFi lending and borrowing protocol deployed on Base and Moonbeam where users supply and borrow assets against collateral, with smart contract risk directly tied to locked user funds.",DeFi lending with locked funds but upgradeable governance
68,ZYFAI,An AI-powered DeFi platform automating yield strategies and portfolio management across decentralized finance protocols.,DeFi with user funds at risk but strategies are adjustable
66,LID,"LID Protocol provides liquid staking wrappers that let users stake tokens while retaining liquidity, with smart contract bugs carrying direct risk to pooled principal.",Pooled staking funds at risk; less institutional scale than top-tier
65,BELEM CAPITAL,Belem Capital is a digital asset investment firm focused on early-stage ventures and liquid crypto strategies for institutional allocators.,Investment firm; financial stakes but errors often reversible at fund level
65,ENSCRIBE,Blockchain notarization and document integrity platform that creates immutable on-chain proof of authenticity for legal and enterprise documents.,Document fraud is costly but platform has limited locked funds
65,FILECOIN,"Runs a decentralized storage marketplace with cryptographic proofs of storage, where storage provider failures result in slashed collateral and data loss for clients.","Real economic penalties but primarily open infra, not custodial"
65,OASIS NETWORK - FOUNDING ENGINEER,"Privacy-focused Layer 1 blockchain with confidential smart contract execution (ParaTime architecture), enabling private DeFi and data tokenization for regulated and sensitive use cases.",Privacy L1 with live funds; medium reversibility via governance
65,WALLETCONNECT,WalletConnect is an open-source communications protocol that securely connects crypto wallets to decentralized applications across web and mobile environments.,Security-critical infra but open-source and widely distributable
65,ZKNEXUS,A ZK-powered blockchain infrastructure layer focused on enabling scalable and privacy-preserving decentralized applications.,ZK infra with some stakes but limited deployed capital exposure
65,HTTPS://GITHUB.COM/REAMLABS/REAM,REAM is an open-source Ethereum consensus client implementation aiming to increase client diversity and network resilience at the protocol layer.,Consensus client; bugs have network-wide impact but open-source and upgradeable
62,CREDA NETWORK,Decentralized credit scoring protocol for AI agents and DeFi users that enables on-chain reputation and undercollateralized lending.,Credit mispricing is costly but protocol is upgradeable
62,ETHEREUM FOUNDATION,"Stewards the development and long-term health of the Ethereum protocol, funding research and core development that underpins hundreds of billions in on-chain value.","High stakes but research/grant org, not deployed financial infra"
62,QUIDLI,Quidli provides crypto payroll and token-based compensation tools that let companies pay employees and contractors in digital assets compliantly and automatically.,Payroll errors have financial/legal cost but scope is limited per transaction
62,ZEAM,"A next-generation Ethereum execution client built for performance, diversity, and client decentralization of the network.","Infra client software, bugs have network impact but upgradeable"
60,OPTIMUM,"Builds a decentralized storage and mempool optimization layer for blockchains, improving data availability and throughput for L1/L2 networks where data integrity is foundational to consensus.",Infra layer with real stakes; still relatively early-stage
60,TEZOS,"Tezos is a self-amending Layer 1 blockchain with formal verification support and on-chain governance, used for NFTs, tokenized assets, and institutional applications.",L1 with institutional use cases; broadly upgradeable by design
58,AERODROME FINANCE / DROMOS LABS,"Aerodrome is Base's central liquidity hub and AMM, built by Dromos Labs, designed to direct liquidity emissions efficiently across the Base ecosystem.",DeFi protocol with real TVL; upgradeable AMM design
58,ETHSTORAGE,"Provides programmable, decentralized storage on Ethereum using data availability layers, enabling persistent on-chain data without centralized dependencies.",Infra layer; stakes real but early-stage and upgradeable
58,ROCKLOGIC GMBH,"Rocklogic builds Ethereum staking and validator management tools including Stereum, helping node operators run reliable staking infrastructure.",Staking infra; validator errors cause slashing risk but tooling is recoverable
55,AVAIL,"Avail is a modular data availability layer enabling rollups and appchains to publish and verify transaction data without running a full chain, reducing cost and increasing scalability.",Critical infra layer; mistakes impactful but open-source and upgradeable
55,COVALENTHQ.COM,"Covalent provides a unified blockchain data API across 200+ chains, giving developers structured access to on-chain history without running their own nodes.",Data API layer; important but not directly holding funds
55,DGRS LABS,Blockchain development studio building custom on-chain infrastructure and smart contract systems for Web3 protocols and enterprises.,Smart contract dev has stakes but varies by client deployment
55,ENVIO,High-performance blockchain indexing and data infrastructure platform enabling developers to query on-chain data with low latency for production dApps.,Infra layer; failures cascade to dApps but indexer is replaceable
55,MEMORY PROTOCOL,Memory Protocol is building decentralized on-chain storage infrastructure where data availability guarantees are a hard dependency for downstream smart contract correctness.,Data infra layer; data loss is costly but funds not directly at stake
55,MONAD FOUNDATION,"Builds a high-performance, EVM-compatible L1 blockchain achieving 10,000+ TPS through parallel execution, enabling DeFi and dApps to scale without sacrificing Ethereum compatibility.",L1 infra with real stakes but still pre-mainnet/upgradeable
55,SESSION,"Session is a decentralized, end-to-end encrypted private messenger that requires no phone number or personal data, routing messages through a staked node network.",Privacy/security product with staked infrastructure; metadata leaks carry reputational cost
55,STEREUM SERVICES FLEXCO,Stereum is an open-source Ethereum node management platform that simplifies validator and staking node setup for solo stakers and institutional operators.,Node infra matters but mistakes are largely recoverable
55,ZERO GRAVITY LABS (0G.AI),A modular AI blockchain providing decentralized storage and compute infrastructure purpose-built for AI applications.,Infra layer with stakes but still early and upgradeable
55,EUROPEAN ALUMINIUM,"European Aluminium is exploring blockchain-based traceability and sustainability certification for the aluminium supply chain, where data integrity affects regulatory compliance and trade finance.",Regulated industry pilot; compliance risk present but system is early-stage
52,0X / MATCHA,"0x provides the leading DEX aggregator API (Matcha) and liquidity infrastructure powering token swaps across DeFi, used by hundreds of apps routing billions in volume.","On-chain infra but swaps are reversible, no locked funds"
52,BOUNCE TECH,"Bounce Finance operates decentralized auction and token sale infrastructure, enabling on-chain fundraising and asset distribution for crypto projects.",On-chain auctions with real funds but smaller protocol scale
52,CR3DENTIALS,Blockchain-based credential verification platform that makes academic and professional credentials tamper-proof and instantly verifiable on-chain.,Credential fraud is costly but system is largely reversible
52,GOLDSKY (AND ALSO ERPC OPEN-SOURCE),Provides real-time blockchain data indexing and subgraph infrastructure that protocols depend on for accurate on-chain data delivery to end users and dApps.,"Data infra dependency risk, but errors are correctable over time"
52,TOKAMAK NETWORK / HASHED OPEN RESEARCH,"Tokamak Network is an Ethereum Layer 2 protocol and on-demand rollup platform built on the OP Stack, enabling teams to launch customized L2 chains with native TON staking.",L2 infra with locked funds but still relatively upgradeable
50,IEXEC,"Provides a decentralized marketplace for cloud computing resources with confidential computing support, enabling verifiable off-chain workloads for sensitive data applications.",Compute marketplace with some sensitive use cases but reversible tasks
50,SYNDICATE,Syndicate provides L2 blockchain infrastructure and smart account tooling that lets product teams embed on-chain features and gasless transactions into applications at scale.,L2 infra with real users but highly upgradeable
50,BELEM CAPITAL AND ROCKAWAYX,Joint digital asset investment vehicle combining Belem Capital and RockawayX's crypto expertise to back early-stage blockchain ventures.,VC portfolio; financial stakes but no deployed system risk
48,AMBIRE,Ambire is a smart account / account abstraction wallet enabling users to manage crypto with Web2-style UX while maintaining self-custody and advanced DeFi access.,Wallet infra; high stakes per user but upgradeable product
48,SKALE LABS,"SKALE Labs operates a modular, gas-free Ethereum-compatible Layer 2 network of elastic sidechains designed to scale dApps without per-transaction fees.","L2 infra with real deployments, but gas-free model reduces per-error financial stakes"
48,ANYENK,Anyenk builds blockchain-based infrastructure for enterprise data verification and compliance workflows.,Enterprise tooling; stakes depend on compliance criticality of client
45,CRYSTALITY,Blockchain infrastructure company providing transparent supply-chain and asset provenance solutions for enterprise clients.,Enterprise blockchain but limited deployed financial exposure
45,FLUENCE,Provides a decentralized serverless compute marketplace where developers can run verifiable compute jobs without relying on centralized cloud providers.,Decentralized infra but compute tasks are generally re-runnable
45,SENTIENT,Sentient is building an open-source AI development platform on blockchain that allows model contributors to retain economic rights and share in downstream revenue.,Novel intersection of AI and crypto; high ambition but deployed stakes still early
45,SPACE ID,"Space ID is a multi-chain web3 naming and identity protocol that lets users register human-readable domain names across BNB Chain, Arbitrum, and other networks.",Useful infra but identity errors are largely reversible
45,ZKWHISTLEBLOWER,"A privacy-preserving protocol enabling anonymous, verifiable whistleblowing using zero-knowledge proofs on-chain.",High-stakes use case but limited deployed financial infrastructure
45,STRATO,Strato provides enterprise blockchain infrastructure and consulting for regulated industries integrating distributed ledger technology.,Enterprise blockchain consulting; stakes vary by client deployment
