name,tier,website_url,logo_url,description,event
Old Money Payments,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101872-1722514488.png,"Payneteasy is a payment technology company offering a white-label, payment-gateway to PSPs as well as a payment cashier to merchants such as Fx brokers, Crypto exchanges, Gaming operators and more. We can also offer payment services via our PSP customers.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Pay Planet (Techmark Limited),Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102769-1764155552.png,"Payneteasy is a payment technology company offering a white-label, payment-gateway to PSPs as well as a payment cashier to merchants such as Fx brokers, Crypto exchanges, Gaming operators and more. We can also offer payment services via our PSP customers.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Payneteasy,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101329-1702376080.png,"Payneteasy is a payment technology company offering a white-label, payment-gateway to PSPs as well as a payment cashier to merchants such as Fx brokers, Crypto exchanges, Gaming operators and more. We can also offer payment services via our PSP customers.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
PaynoPain,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101125-1702375963.png,"PaynoPain is a Spanish fintech company that has been a benchmark within the online payment vertical for 10 years. Their main activity focuses on research and development of payment tools to facilitate day-to-day transactions, using the most current technology in order to guarantee agility in processes and the maximum security. At PaynoPain they are specialized in helping to comply with regulations, such as PSD2, without increasing friction points. Faster payments for a higher conversion rate and more satisfied customers.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
PBpay,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101383-1702376099.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
RevenueLab (RevSharks),Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-100093-1702375996.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Smartico,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101196-1702376016.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Spayz.io,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101382-1746689684.png,"TaDa Gaming Ltd. is a group of well-experienced gaming developers dedicated to creating the best and most original games in pursuit of excellence and innovation, which are our core values. We design exciting online video slots, bingo, table games, and fishing games, stay ahead of the competition and keep releasing innovative games.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Spinbetter,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101245-1748500201.png,"TaDa Gaming Ltd. is a group of well-experienced gaming developers dedicated to creating the best and most original games in pursuit of excellence and innovation, which are our core values. We design exciting online video slots, bingo, table games, and fishing games, stay ahead of the competition and keep releasing innovative games.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
SWAG42,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101378-1702376097.png,"TaDa Gaming Ltd. is a group of well-experienced gaming developers dedicated to creating the best and most original games in pursuit of excellence and innovation, which are our core values. We design exciting online video slots, bingo, table games, and fishing games, stay ahead of the competition and keep releasing innovative games.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
TaDa Gaming (Dubai),Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-100167-1765356352.png,"TaDa Gaming Ltd. is a group of well-experienced gaming developers dedicated to creating the best and most original games in pursuit of excellence and innovation, which are our core values. We design exciting online video slots, bingo, table games, and fishing games, stay ahead of the competition and keep releasing innovative games.","SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
True Label,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102148-1737033205.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Tunzer (Crederes),Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102113-1734007601.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Tyfany,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102413-1753089915.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Unity Finance (UnityF / UF),Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102311-1747657520.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Vamos Pago (TodayPay),Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102088-1745825063.jpg,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Win Win Partners,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102309-1747383657.svg,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
XBO,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-101930-1724317628.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Yaspa,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-102339-1749732680.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
Zenex,Sponsor/Exhibitor,,https://tickets.sigma.world/img/companies/tmp/company-100993-1752559843.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)"
