name,dates,location,region,category,focus,attendance,website,description
Korea Blockchain Week 2026,"Sep 29–Oct 1, 2026","Seoul, South Korea",Asia-Pacific,Multi-chain / Web3,"Trading, Web3 startups, gaming, institutional capital, Asia","20,000+",https://koreablockchainweek.com/,"Asia's premier annual global blockchain and crypto conference. Main conference Sept 30–Oct 1, with week-long side events. Upbit as main sponsor."
TOKEN2049 Singapore,"Oct 7–8, 2026",Singapore (Marina Bay Sands),Asia-Pacific,Multi-chain / Web3,"Exchanges, liquidity, derivatives, stablecoins, consumer Web3","25,000+",https://www.token2049.com/,"The world's largest crypto event at Marina Bay Sands. 7,000+ companies, 300+ speakers. Extensive side events and experiences."
PlanB Forum Lugano 2026,"Oct 23, 2026","Lugano, Switzerland",Europe,Bitcoin,"Bitcoin policy, European ecosystem, treasury companies","2,000+",https://planb.lugano.ch/planb-forum,"Annual Bitcoin forum in Lugano, the last major stop of the European Bitcoin conference season. Policy experts, government officials, and industry titans."
Ripple Swell + Apex 2026,"Oct 27–29, 2026","New York City, USA",North America,XRP / Institutional,"XRP ecosystem, cross-border payments, stablecoins, institutional finance","3,000+",https://swell.ripple.com/,"Ripple's flagship annual event combining Swell and Apex developer summit for the first time. Held at The Shed, NYC."
Devcon 8,"Nov 3–6, 2026","Mumbai, India (JIO World Center)",Asia-Pacific,Ethereum,"Ethereum protocol R&D, developers, researchers, community","15,000+",https://devcon.org/,"Ethereum Foundation's flagship bi-annual conference, 8th edition. Highlights India's fast-growing builder ecosystem. Just before Diwali."
Pragma Mumbai 2026,"Nov 5, 2026","Mumbai, India",Asia-Pacific,Ethereum / Summit,"Ethereum protocol, Web3 founders, builders summit",500+,https://ethglobal.com/pragma,"ETHGlobal's curated one-day summit for Web3 founders and builders in Mumbai, co-located with Devcon 8."
ETHGlobal Mumbai 2026,"Nov 6–8, 2026","Mumbai, India",Asia-Pacific,Ethereum / Hackathon,"Ethereum, DeFi, ZK, L2, builder hackathon",800+,https://ethglobal.com/events,"ETHGlobal's IRL hackathon in Mumbai, co-located with Devcon 8 at JIO World Center."
Web Summit Lisbon 2026,"Nov 9–12, 2026","Lisbon, Portugal (MEO Arena)",Europe,Multi-chain / Web3,"Web3, DeFi, crypto regulation, VC, AI, fintech, Big Tech","70,000+",https://websummit.com/,"The world's most influential tech conference. Full stages dedicated to Web3, DeFi, and AI. Major crypto hub in Lisbon."
Bitcoin Amsterdam 2026,Nov 2026 (Autumn),"Amsterdam, Netherlands",Europe,Bitcoin,"Bitcoin culture, privacy tech, European ecosystem, regulation","5,000+",https://bitcoin.amsterdam.com,"One of the largest European Bitcoin conferences by BTC Inc. Entrepreneurs, artists, technologists, and builders."
Blockchain Futurist Conference Florida,"Nov 17–18, 2026","Fort Lauderdale, Florida, USA",North America,Multi-chain / Web3,"Web3, Crypto, DeFi, AI, networking","3,000+",https://futuristconference.com/usa,10th edition of Blockchain Futurist Conference at Seminole Hard Rock Hotel & Casino. Web3 and AI professionals connect.
Solana Breakpoint 2026,"Nov 15–17, 2026","London, UK (Olympia)",Europe,Solana,"Solana ecosystem, capital markets, builders, institutions","7,000+",https://solana.com/breakpoint,"Solana's flagship annual conference, first time in London. Builders, institutions, and policymakers shaping Internet Capital Markets."
SiGMA World Rome 2026,"Nov 2–5, 2026","Rome, Italy (Fiera Roma)",Europe,Multi-chain / Web3,"Gaming, iGaming, blockchain, AI, fintech, Web3","25,000+",https://sigma.world/,"SiGMA World's major European edition in Rome. Five stages covering blockchain, AI, gaming, and payments."
SatsConf 2026,Nov 2026,"São Paulo, Brazil",Latin America,Bitcoin,"Bitcoin adoption in Brazil, developers, builders, entrepreneurs","3,000+",https://satsconf.com.br,"Brazil's largest Bitcoin conference, a portal into the world of Bitcoin in Latin America's largest economy."
Blockchain Life Forum 2026,"Dec 1–2, 2026","Dubai, UAE",Middle East,Multi-chain / Web3,"Bitcoin, altcoins, mining, CEXs, Web3, trading","15,000+",https://blockchain-life.com/,"17th edition of the legendary forum. 'Crypto whales meeting point' — 200+ speakers, 130+ countries. Right before Formula 1 Grand Prix."
Binance Blockchain Week 2026,"Dec 3–4, 2026","Dubai, UAE",Middle East,Multi-chain / Web3,"Binance ecosystem, BNB Chain, Web3 in sport, consumer adoption","10,000+",https://www.binance.com/,"Binance's annual conference showcasing its ecosystem and partners. Web3 applications in sport, digital assets, and mainstream adoption."
Bitcoin MENA 2026,Dec 2026,"Abu Dhabi, UAE",Middle East,Bitcoin,"Bitcoin adoption in MENA, business leaders, treasury companies","10,000+",https://mena.b.tc/,BTC Inc.'s flagship MENA conference. Largest aggregator of business leaders and entrepreneurs in the region. BFC Symposium on Dec 8.
Africa Bitcoin Conference 2026,Dec 2026,Africa (TBA),Africa,Bitcoin,"Bitcoin in Africa, builders, entrepreneurs, policymakers","2,000+",https://afrobitcoin.org,5th edition of the longest-running Bitcoin conference in Africa. Annual destination for the African Bitcoin ecosystem snapshot.
