Company,Website,Description,HQ,Category,Round Type,Amount Raised,Amount Raised (USD),Date Raised,Investors,CEO/Founder Name,CEO/Founder Title,CEO LinkedIn,CEO Email,CEO Twitter,CTO Name,CTO Title,CTO LinkedIn,CTO Email,CTO Twitter,Other Contacts,Enriched Investors,Funding Note,Enrichment Confidence,Notes / Flags,Source URL,Enrichment Source
TenX,https://www.tenx.tech,Singapore-based crypto payments company that built a crypto wallet and Visa debit/prepaid card to make cryptocurrencies spendable; the operating wallet/card business shut down in 2021 and the entity is now largely defunct/dormant.,Singapore,"Payments, Wallet",Undisclosed,$22.00M,22000000,2025-12-10,,Toby Hoenisch,Co-Founder & CEO (former; company ceased operations 2021),https://sg.linkedin.com/in/tobyai,,@tobyai,,,,,,Julian Hosp (Co-Founder & former President) https://www.linkedin.com/in/julianhosp/; Paul Kitti (Co-Founder),"Fenbushi Capital, Vitalik Buterin (advisor/angel), ICO 2017 (~$80M raised via PAY token)",Raised ~$80M in 2017 ICO (PAY token). No new funding; wallet/card services discontinued ~April 2021. Twitter handle of choice unverified for Hosp.,low,"CAUTION: This tenx.tech entity is the original crypto-payments TenX, which wound down operations in 2021. The website still hosts legacy roadmap/press pages but there is no active operating company or current leadership. Do NOT confuse with unrelated 'TenX' entities: TenX Protocols Inc (TSXV:TNX, CEO Mat Cybula), tenx.ai (enterprise AI), or tenx.inc. Toby Hoenisch is no longer running an active TenX; he was publicly named (and denied being) the 2016 DAO hacker. Title across sources varies (Co-Founder/Chairman/CFO and CEO). Recommend deprioritizing or not contacting as a live company.",https://www.coincarp.com/fundraising/tenx/tenx-undisclosed/,Web research
Metalpha,https://www.metalpha.net,"Nasdaq-listed, Hong Kong-based digital-asset wealth management firm providing institutional-grade crypto derivatives, structured products, market-making, proprietary trading, and securities advisory/asset-management services to institutions and high-net-worth clients.",Hong Kong (China),Trading,Post-IPO,$12.00M,12000000,2025-10-30,Avenir Group,Bingzhong Wang (English name: Adrian Wang),Chief Executive Officer and Chairman of the Board,https://hk.linkedin.com/in/adrian-wang-10311b38,,,,,,,,Pengyuan Fan (Chief Financial Officer & Director) ; Xiaosi Zhang (Chief Operating Officer) ,"Antalpha (Antalpha Technologies Holdings / Antalpha Holdings Limited) is the controlling shareholder at ~38.06% beneficial ownership (Schedule 13D, Jan 2023) and a major customer; Antalpha is now Nasdaq-listed (ANTA) and Tether holds ~8.1-8.2% of Antalpha.","Ticker MATH on Nasdaq (holding company public since 2017; crypto-wealth pivot began 2021-2022 when Antalpha acquired its stake). H1 FY2025 revenue ~US$19.7M (+~388% YoY), net income ~US$6.04M. Board authorized a US$5M share-repurchase program (Feb 13, 2025). No recent venture-style equity raise found.",high,"High confidence on company identity, business, HQ, CEO/Chairman, CFO/COO, Antalpha ownership, ticker/financials (cross-confirmed across SEC filings, StockTitan, stockanalysis.com, press). 'Adrian Wang' and 'Bingzhong Wang' are the same person (Adrian = English name; SEC uses Bingzhong). CEO LinkedIn URL came from a search result labeled 'Adrian Wang - Metalpha' but could not be opened directly to 100% verify; treat as probable. No public CTO/technical lead exists in any source. Other named officers (context): Monique Chan (CEO of subsidiary LSQ Capital, since Aug 1 2025) and Isabella He (Head of Institutional & IR) could not have LinkedIn confirmed. Best contact: ir@metalpha.net. Official metalpha.net pages block automated fetch (HTTP 403).",https://www.coincarp.com/fundraising/metalpha/metalpha-postipo/,Web research
Prenetics,https://www.prenetics.com,Nasdaq-listed (PRE) health sciences company focused on health and longevity (diagnostics/genomics plus the IM8 supplement brand) that in 2025 adopted a Bitcoin treasury strategy as a 'dual-engine' health + wealth model.,"Hong Kong (Quarry Bay), with significant U.S./Americas presence",Finance/Banking,Post-IPO,$48.00M,48000000,2025-10-28,"Kraken, Exodus, DL HOLDINGS",Danny Yeung,Co-Founder & Chief Executive Officer,https://hk.linkedin.com/in/dyeung22,,,,,,,,"Stephen Lo (Chief Financial Officer; oversees treasury) ; Andy Cheung (Board Director; former COO of OKEx/OKX, appointed for board oversight of the Bitcoin/crypto treasury strategy) ","Early/notable backers: Alibaba Entrepreneurs Fund, Ping An Ventures; went public via de-SPAC merger with Adrian Cheng's Artisan Acquisition Corp (2022) with forward-purchase backers including Aspex, PAG, Lippo, Dragonstone, and Xen Capital.","Listed on Nasdaq under ticker 'PRE' (warrants 'PRENW') since May 18, 2022 via SPAC merger (~$1.25B enterprise value). In June 2025 became the first healthcare company to adopt a Bitcoin treasury strategy, buying 187.42 BTC for $20M via Kraken custody, with a daily 'one Bitcoin a day' accumulation since ~Aug 1, 2025. After a ~$44M equity offering (closed Oct 28, 2025) it added 100 BTC, expanding holdings to ~378 BTC (~$46M). Supplement brand IM8 reportedly hit ~$100M ARR.",high,"High confidence on company identity, website, HQ, CEO (Danny Yeung), CFO (Stephen Lo), board member Andy Cheung, ticker, and Bitcoin treasury facts (multiple sources + SEC 6-K filings + official IR). No CTO exists; closest technical/scientific lead is Lawrence Tzang (Chief Scientific Officer & Co-Founder, LinkedIn unverified). The Bitcoin treasury initiative is driven by CEO + CFO with board oversight (Andy Cheung) and external advisor Tracy Hoyos-Lopez, not a dedicated 'head of Bitcoin treasury' role. Only Danny Yeung's LinkedIn was directly verified; others left blank to avoid guessing. Note a separate U.S. CFO, Brian Rosin, also appears in sources. IM8 co-founded with Michel Lamunière; David Beckham is a publicly reported IM8 partner/investor.",https://www.coincarp.com/fundraising/prenetics/prenetics-postipo/,Web research
Me3.eth,https://me3.io,"Web3 engagement/analytics platform (ME3 Labs Inc.) providing an AI 'engagement layer' — gamified quests with AI verification of real human participation (flagship: Gacha Galaxy, $GG token) plus on-chain identity/profile tooling; turns scattered wallet, app and community activity into retention journeys.",Singapore (ME3 Labs Inc.; team also UK),Social/Community,Undisclosed,$3.00M,3000000,2025-10-24,"Outlier Ventures, Master Ventures, Maven Capital",Matthew Ainscow,Co-founder & CEO,https://sg.linkedin.com/in/matthew-ainscow-874421b1,,,,,,,,Hong Loon Gan (Co-founder) https://www.linkedin.com/in/hong-loon-gan-43899215/; Mark Homeier (Chief Marketing Officer),"Kakao Games, Outlier Ventures, Tokocrypto, Master Ventures, Maven Capital, Marshland (Genesis + Private rounds). Also lists Binance among backers.","~$3.00M across Seed/Private (Genesis + Private) rounds, announced ~Oct 24 2025. CoinCarp slug 'me3-eth', round 'Undisclosed $3.00M'. 200k+ users since Oct 2024 mainnet, 1M+ weekly interactions.",medium,"Same company across me3.eth / me3.is / me3.io brands (Web3 identity wallet that evolved into AI engagement platform; all in Outlier Ventures portfolio under both 'me3' and 'me3-eth'). Matched via the CoinCarp 'me3-eth' $3M slug + Outlier Ventures link. Confidence medium (not high) because one Outlier portfolio page listed an early founder name 'Brendan' while all recent/authoritative sources (LinkedIn, press) name Matthew Ainscow as CEO and Hong Loon Gan as co-founder — possible team change or early-record discrepancy. No CTO publicly identified; CEO/co-founder Twitter handles not confirmed (project X: @me3doteth, LinkedIn: me3wallet / me3labs).",https://www.coincarp.com/fundraising/me3-eth/me3eth-undisclosed/,Web research
APRO Oracle,https://www.apro.com/,"APRO is an AI-enhanced decentralized oracle network providing secure, real-time price feeds and off-chain data to blockchain applications, focused on RWA, AI agents, prediction markets, and DeFi.",Singapore,Oracle,Strategic,Undisclosed,,2025-10-22,"YZi Labs (Formerly: Binance Labs), Gate.io, TPC Ventures",,,,,,,,,,,,"YZi Labs (lead, via EASY Residency incubation); Gate Labs; WAGMI Venture; TPC Ventures. Earlier seed/strategic backers: Polychain Capital, Franklin Templeton, YZi Labs.","Strategic round (amount undisclosed in this round) announced Oct 21, 2025, led by YZi Labs. Total funding across seed+strategic reported around $3M-$8M.",high,"Correct crypto entity confirmed via apro.com, LinkedIn (linkedin.com/company/apro-oracle), and X (@APRO_Oracle). Founders/core team are intentionally anonymous/pseudonymous (common for oracle projects); no public CEO/CTO names disclosed in docs or GitHub, so leadership fields left blank rather than guessed. LinkedIn lists some employees (e.g., Simon Shieh, Gigi Lin, Helen Feng) but none confirmed as CEO/CTO. Founded 2024. Token: AT. CZ (Binance) participated in naming campaign ('A PRO'). NOT the unrelated Oracle Corporation or APRO Software Solutions.",https://www.coincarp.com/fundraising/apro-oracle/apro-oracle-strategic/,Web research
Cybrid,https://cybrid.xyz/,"Cybrid is an API-first, compliant stablecoin and fiat payment infrastructure provider that lets banks, fintechs, and cross-border payment providers launch white-labelled tokenized payment products with instant settlement.","Toronto, Canada",Finance/Banking,Series A,$10.00M,10000000,2025-10-22,,Avinash Chidambaram,Founder & CEO,https://www.linkedin.com/in/avinashchidambaram/,,,Brent Carrara,Founder & CTO (Ph.D.),https://ca.linkedin.com/in/brentcarrara,,,Dean Brauer (President & COO); Michael Carrara (Founder & Engineer); Connie Chan (VP of Product),Growth Venture Fund at BDC Capital (lead); Golden Ventures; Luge Capital; Panache Ventures.,"Series A US$10M, announced ~Oct 22, 2025, led by BDC Capital's Growth Venture Fund. Prior: $3.8M CAD seed round.",high,"Correct fintech/stablecoin-infra entity confirmed via cybrid.xyz, LinkedIn (ca.linkedin.com/company/cybridapp), and multiple press releases (BusinessWire, BetaKit, FinSMEs). Founded 2021 in Toronto. Founders Avinash Chidambaram and Brent Carrara previously co-founded Ario (acquired by Driven/Thinking Capital). Avinash also has an alternate LinkedIn URL linkedin.com/in/avinash-chidambaram-6775661/; the vanity URL /in/avinashchidambaram/ was used. Emails not publicly confirmed.",https://www.coincarp.com/fundraising/cybrid/cybrid-series-a/,Web research
Forward Industries,https://www.forwardindustries.com,"Nasdaq-listed company (formerly a designer/distributor of protective cases for handheld electronics) that pivoted in September 2025 into a Solana-focused digital-asset treasury, holding ~7 million SOL and aiming to grow SOL-per-share via staking and DeFi.","New York, USA (Hauppauge, New York)",Finance/Banking,Post-IPO,$1.65B,1650000000,2025-09-11,"Galaxy Digital, Multicoin Capital, Jump Crypto",Michael Pruitt,Interim Chief Executive Officer & Director,https://www.linkedin.com/in/mike-pruitt-007a4011/,,,Ryan Navi,Chief Investment Officer (leads Solana treasury strategy execution),https://www.linkedin.com/in/ryan-navi-50b27a3b/,,,"Kyle Samani (Chairman of the Board; co-founder of Multicoin Capital) https://twitter.com/KyleSamani; Ryan Navi (CIO, ex-ParaFi Capital Head of Venture) https://www.linkedin.com/in/ryan-navi-50b27a3b/","Galaxy Digital, Jump Crypto, Multicoin Capital (lead the $1.65B private placement); Galaxy Asset Management provides treasury management services; partner Superstate (equity tokenization on Solana)","Ticker is now FWDI (legacy FORD). Closed a ~$1.65B PIPE (cash + stablecoin) on Sep 11, 2025 to fund SOL purchases; deployed ~$1.58B into SOL. Holds the largest publicly-listed Solana treasury (~6.8-7M SOL).",high,"No traditional CTO; the technical/investment lead for the crypto strategy is CIO Ryan Navi (appointed Dec 2025, from ParaFi Capital). Strategy is steered by Chairman Kyle Samani (Multicoin co-founder, stepped back from Multicoin Feb 2026 but remains Forward chairman) + Interim CEO Michael Pruitt + CIO Ryan Navi. Pruitt has been Interim CEO since May 2025; no permanent CEO announced as of mid-2026. Best outreach targets for a crypto/treasury conversation: Kyle Samani and Ryan Navi.",https://www.coincarp.com/fundraising/forward-industries/forward-industries-postipo/,Web research
Minidoge,https://minidoge.finance/,"MiniDoge (MINIDOGE) is a BSC/BEP-20 hyper-deflationary meme token with an 'Autoboost' buyback-and-burn mechanism, building a Web3 ecosystem including the MiniPets play-to-earn game and a DOGE-focused exchange (DogeEx).",,Other,Strategic,Undisclosed,,2025-09-11,Mini Lab,,,,,,,,,,,,,"No credible disclosed strategic funding round / investors found. CoinCarp lists a 'strategic (undisclosed)' entry, but no investors or amount are publicly verifiable.",low,"Correct crypto/meme-token entity (NOT a Spanish property company) confirmed via minidoge.finance, X @MiniDOGEToken, and BscScan (contract 0xba07eed3d09055d60caef2bdfca1c05792f2dfad). However the project is largely pseudonymous: older sources (BSC News AMA, Yahoo Finance PR) cite 'Bill Spata' as CEO and 'Eric Andersen', with a dev group called 'DevTeamSix', but these are unverified and the team is anonymous; some sources flag association with other tokens (CreamPYE). Did not attribute any leadership names due to lack of verifiable identity. A ~2021-era meme project; no real company HQ/leadership confirmable. Note there are also lookalike tokens (MiniDoge 2.0, aiminidoge.com) which may be unrelated/copycats.",https://www.coincarp.com/fundraising/minidoge/minidoge-strategic/,Web research
StablecoinX,https://www.stablecoinx.com,"Ethena-ecosystem stablecoin infrastructure and services company (cross-border payments, on-chain treasury, branded stablecoin issuance) that is also the first dedicated public-market ENA treasury vehicle, going public on Nasdaq via a de-SPAC merger with TLGY Acquisition Corp.","Frisco, Texas, United States","DeFi, Stablecoin",Post-IPO,$530.00M,530000000,2025-09-06,"YZi Labs (Formerly: Binance Labs), BH Digital(Brevan Howard Digital), IMC Trading",Young Cho,Chief Executive Officer & Executive Director (operating company; expected to become CFO of public StablecoinX Inc. at merger close),https://www.linkedin.com/in/young-cho-cfa-4590b112/,,,Ahmed J. Aly,Chief Technology Officer (since June 2025),https://www.linkedin.com/in/ahmedjacob/,,,"Edward Chen (Chairman; Founder & Managing Partner, Carnegie Park Capital; expected to become CEO & Chairman of public StablecoinX Inc. at close) ; Rob Hadick (Chair of Strategic Advisory Board; General Partner, Dragonfly) ","Ethena Foundation (anchor backer, ~$60M); Dragonfly; Ribbit Capital; Pantera Capital; Polychain Capital; Galaxy Digital; ParaFi Capital; Haun Ventures; Brevan Howard; Franklin Templeton; Blockchain.com; Susquehanna Crypto; IMC Trading; ArkStream Capital. SPAC sponsor: Carnegie Park Capital LLC (Edward Chen).","De-SPAC merger with TLGY Acquisition Corp. (OTC Pink: TLGYF); Business Combination Agreement signed July 21, 2025. Post-merger entity StablecoinX Inc. (Delaware) intends to list on Nasdaq under ticker 'USDE' (warrants 'USDEW'). Raised ~$360M initially, increased via a $530M PIPE (Sept 6, 2025) to a ~$890M total. As of a June 17, 2026 Form 425 the deal was still presented as pending; no confirmation found that the merger closed or USDE is trading.",high,"Primary sources: SEC Form 424B3 prospectus + Form 425 filings, official site, corroborated by CoinDesk/Cointelegraph/The Block. WARNING on the 'Ahmed Jacob' caveat: there IS an Ahmed (Ahmed J. Aly, LinkedIn 'Ahmed Jacob A.') but he is the CTO, NOT the CEO. Actual CEO is Young Cho. CRITICAL title flip at close: pre-close Young Cho=CEO and Edward Chen=Chairman; post-close prospectus states Edward Chen becomes CEO/Chairman and Young Cho becomes CFO. Two legal entities share the name: SC Assets/StablecoinX Assets Inc. (operating) and StablecoinX Inc. (public shell). Company X is @stablecoin_x. LinkedIn URLs for Cho and Aly are strong matches but automated fetch was blocked (HTTP 999).",https://www.coincarp.com/fundraising/stablecoinx/stablecoinx-postipo/,Web research
Maiga (Formerly:ThirdFi）,https://www.maiga.ai/,"Maiga (formerly ThirdFi) is a DeFAI AI-agent platform on BNB Chain providing AI co-pilots for crypto trading, DeFi, and prediction markets, built on the Web3 infrastructure (APIs/SDKs) it developed as ThirdFi.",Singapore,"DeFi, Finance/Banking",Strategic,$2.00M,2000000,2025-09-04,"Amber Group, Red Beard Ventures, IBC Group",Victor JW Lee,Co-Founder & CEO,https://www.linkedin.com/in/victorleejennwei/,,https://x.com/victorleejw,Mah Soon Lai,Co-Founder & CTO,https://www.linkedin.com/in/soonlaimah/,,,"Alvin Foo (Co-Founder, per Crunchbase)","Amber Group; Red Beard Ventures; IBC Group; TBV Ventures; Chainlink. (Earlier ThirdFi token round backers: Techstars, Chainlink, Outlier Ventures, Alphabit Capital.)","Strategic round $2.00M, announced Sept 2025 (under the Maiga brand), backed by Amber Group, Red Beard Ventures, IBC Group, TBV Ventures, Chainlink.",high,"Confirmed rebrand from ThirdFi to Maiga via maiga.ai, GitHub (github.com/thirdfi 'Maiga formerly ThirdFi'), and press (The Block, Chainwire). Official X for the project is @Maiga_AI; flagship product is AI agent @maigaxbt. ThirdFi founded ~2020/2022 in Singapore. Founders: Victor JW Lee (CEO), Mah Soon Lai (CTO), Alvin Foo (co-founder). Reported 1M+ users, ~$46M volume. 'MAIGA' = 'Make AI Great Again'. Emails not publicly confirmed.",https://www.coincarp.com/fundraising/thirdfi/maiga-strategic/,Web research
ZOOZ Power Ltd.,https://www.zoozpower.com/,"Israeli publicly-traded company (Nasdaq & TASE: ZOOZ) providing flywheel-based energy storage / grid enhancement for ultra-fast EV charging, which in 2025 launched a Bitcoin treasury reserve strategy via a $180M PIPE.","Lod (Tel Aviv area), Israel",Other,Post-IPO,$5.00M,5000000,2025-08-06,,Jordan Fried,CEO (appointed Oct 2025 to lead the digital-asset / Bitcoin treasury strategy; runs ZOOZ Strategy Ltd.),https://www.linkedin.com/in/jordanfried/,,https://x.com/jordanfried,Ilan Ben-David,CTO,,,,"Erez Zimerman (CEO of core flywheel/EV-charging energy business; continued in role after the treasury pivot) https://www.linkedin.com/in/erez-zimerman/; David Pincu (VP R&D, Co-Founder); Ruth Smadja (CFO)",$180M Bitcoin-treasury PIPE (July 2025) from qualified/institutional investors; CoinCarp 'Post-IPO $5.00M' round investors not separately disclosed. Earlier Nasdaq listing via SPAC merger with Keyarch Acquisition Corp (April 2024).,CoinCarp anchor labels a Post-IPO $5.00M round; this is distinct from (and far smaller than) the widely-reported $180M Bitcoin-treasury PIPE of July 2025. Specific $5M-round investors were not confirmable. CoinCarp anchor URL returned 404.,high,"Entity confirmed as the listed EV-charging/flywheel company (Nasdaq:ZOOZ) that took a crypto treasury, exactly per the prompt. CEO role is split: Jordan Fried leads the digital-asset/Bitcoin strategy (most relevant to this crypto-treasury round) while Erez Zimerman runs the legacy flywheel energy/EV-charging business. CTO Ilan Ben-David per Simply Wall St management data; LinkedIn URL not confirmed. zoozpower.com/company team page returned 403 on fetch; leadership cross-referenced from press releases and Simply Wall St.",https://www.coincarp.com/fundraising/zooz-power-ltd/zooz-power-ltd-postipo/,Web research
BayesMarket,https://bayes.market/,"Decentralized social prediction-market platform (by Bayes Labs) that turns public sentiment into tradable signals on real-world events, using automated prediction market makers (APMMs) and AI-driven recommendations.",Hong Kong,"Trading, Data/Analytics",Strategic,$2.00M,2000000,2025-08-06,,,,,,,,,,,,general: info@bayeslabs.tech,"GreenVision Fund (Singapore), Jkapital Ltd., Bearcat, plus a U.S. public-company chairman (unnamed)","$2M strategic round announced Sept 2025; led by a group including GreenVision Fund (Singapore), Jkapital Ltd. and Bearcat. CoinCarp anchor URL returned 404.",high,"Company/round confirmed via PR Newswire, Finsmes and ChainCatcher. Founding team described publicly only as an 'interdisciplinary team' (Bayes Labs) with no named individuals — CEO/CTO names not publicly disclosed; left blank per accuracy rule. Official site bayes.market (corporate bayeslabs.tech, also bayesmarket.xyz); X handle @BayesMarket; docs at bayesmarket.gitbook.io; general contact info@bayeslabs.tech.",https://www.coincarp.com/fundraising/bayesmarket/bayesmarket-strategic/,Web research
Stan,https://getstan.app/,"India/Singapore-based mobile-first social gaming and creator platform for gamers/esports fans, with crypto integration — digital collectibles/NFTs and an Aptos-blockchain rewards layer (Photon).","Singapore (operations / founders based in Bengaluru, India)",Wallet,Undisclosed,$8.50M,8500000,2025-08-05,"General Catalyst, Square Enix, King River Capital",Parth Chadha,Co-Founder & CEO,https://www.linkedin.com/in/parth-chadha/,,https://x.com/TheParthChadha,Rahul Singh,Co-Founder & CTO,https://in.linkedin.com/in/rahul-singh-53111281,,,"Nauman Mulla (Co-Founder & COO); other co-founders: Gyanesh Kumar, Shubham Gupta","Google AI Futures Fund (lead); Bandai Namco, Square Enix, Reazon Holdings, Aptos Labs, King River Capital, General Catalyst, GFR Fund; Sony Innovation Fund joined at final close (Nov 2025). Earlier backers incl. Nazara Technologies and CoinSwitch.","$8.5M round announced Aug 5, 2025 (reported as Series A; some sources call it seed), led by Google AI Futures Fund; extended to ~$10.5M total at Nov 2025 final close with Sony Innovation Fund. Matches CoinCarp's 'Undisclosed $8.50M'. CoinCarp anchor URL returned 404.",high,"ENTITY-MATCH CAVEAT: CoinCarp categorizes this 'Stan' as 'Wallet', but the only crypto/web3 'Stan' that raised exactly $8.5M is the Indian social-gaming app (getstan.app), which has genuine crypto exposure (Aptos rewards 'Photon', NFT collectibles, CoinSwitch as investor). Confident this is the correct entity, NOT the Australian streaming service stan.com.au. The 'Wallet' tag is a loose CoinCarp categorization rather than the product being a pure crypto wallet. Round amount and timing match precisely. | CEO Email: work email pattern: <first>@getstan.app — exact address not confirmed",https://www.coincarp.com/fundraising/stan/stan-undisclosed-2/,Web research
ANT.FUN,https://ant.fun/,"Solana-based 'social DEX' trading platform offering real-time on-chain analysis, MEME-token trading across chains, decentralized perps and a mobile Ant Wallet, integrating with PumpFun/Raydium/Orca.",,"DeFi, GameFi",Series A,Undisclosed,,2025-08-03,,,,,,,,,,,,,"Round reported as led by Mim Streams, with participation from the Solana Foundation Solaris Accelerator and numerous institutions/individuals (specific Series A investors not separately confirmed)","CoinCarp anchor labels a Series A (undisclosed amount). Public reporting describes a multi-million-dollar round led by Mim Streams plus a 'B2 round' and selection into Solana's Solaris accelerator (Jan 2026); exact Series A figure/date not cleanly confirmable, and one report dates a round to Oct 2026. CoinCarp anchor URL returned 404.",medium,"Project confirmed as the Solana social DEX ant.fun (token ANB/ANTFUN, docs.ant.fun). Founder/CEO/CTO are not publicly disclosed — typical anonymous DeFi team; left blank per accuracy rule rather than guessing. X handles seen: @AntFun_io (in docs) and @ant_fun_trade (active 'ANT.FUN OFFICIAL' account). HQ not disclosed. Funding details are fuzzy/partly future-dated across sources, hence medium confidence on the specific round.",https://www.coincarp.com/fundraising/antfun/antfun-series-a/,Web research
Rialo,https://rialo.io/,"Rialo (built by Subzero Labs) is a next-generation, high-throughput blockchain network with configurable privacy designed for real-world applications, natively handling web services, event-driven execution, timers, and cross-chain calls without external oracles or bridges.","New York City, USA",Infrastructure,Seed,$20.00M,20000000,2025-08-02,"Pantera Capital, Coinbase Ventures, Variant",Ade Adepoju,"Co-Founder & CEO, Subzero Labs",,,,Lu Zhang,"Co-Founder & CTO, Subzero Labs",https://www.linkedin.com/in/lu-zhang-42657891/,,,,Pantera Capital (lead); Variant; Hashed; Fabric Ventures; Coinbase Ventures; Mirana Ventures; Susquehanna (SCB/crypto); Edge Ventures; Flowdesk; Mysten Labs,"Seed $20M, led by Pantera Capital, announced August 2025 (closed Q1 2025); equity + token warrants. Company: Subzero Labs, Inc.; project name Rialo = 'Rialo isn't a layer 1.'",high,"Correct crypto entity (NOT an Iranian site). Company is legally Subzero Labs, Inc.; Rialo is the blockchain product. Both founders are ex-Mysten Labs (Sui) engineers, matching the anchor description. Ade Adepoju (CEO) previously at AMD, Dell, Netflix; Lu Zhang (CTO) previously at Meta (Diem) and Google. Founder LinkedIn/Twitter handles not confirmed except Lu Zhang LinkedIn. Company LinkedIn pages: linkedin.com/company/rialohq and linkedin.com/company/subzerolabs. CoinCarp anchor URL returned 404; identification confirmed via Fortune, Pantera, CryptoRank, LinkedIn.",https://www.coincarp.com/fundraising/rialo/rialo-seed/,Web research
Vaultz Capital,https://www.vaultzcapital.co.uk/,"Vaultz Capital PLC is a UK Aquis-listed (AQSE: V3TC) investment company running a Bitcoin treasury strategy plus cloud Bitcoin mining, while pursuing acquisitions in structural-trend sectors (strategic minerals, AI, digital infrastructure).","London, United Kingdom","Infrastructure, Finance/Banking",Post-IPO,$4.97M,4969510,2025-08-01,,Eric Benz,Chief Executive Officer & Director,https://uk.linkedin.com/in/ericbenz84,,,,,,,,Charlie Wood (Non-Executive Chairman); Aleksander 'Aleks' Nowak (Chief Operating Officer); James Bowater (Global Head of Partnerships); Fungai Ndoro (Non-Executive Director),,"Post-IPO equity raise (the company is already AQSE-listed under V3TC, formerly Helium Ventures Plc, renamed Vaultz Capital June 2025). Round per anchor: Post-IPO $4.97M. Dual-listed on Frankfurt Stock Exchange and trades OTCQB (US). General contact email: info@vaultzcapital.co.uk.",high,"Correct UK-listed crypto/digital-asset treasury company (Vaultz Capital PLC, Companies House #13355240). No CTO role for this listed treasury vehicle. Eric Benz (CEO) is a crypto veteran: co-founded GoCoin with Brock Pierce, ex-CEO of Changelly, involved in Uphold/BitReserve. Investor list for the specific post-IPO placing not disclosed publicly (raise was a placing/subscription, not VC-led). CoinCarp anchor URL returned 404; identity confirmed via official site, Aquis/Investegate RNS, Proactive Investors, FX News Group, LinkedIn.",https://www.coincarp.com/fundraising/vaultz-capital/vaultz-capital-postipo-2/,Web research
Nano Labs,https://ir.nano.cn,"Nasdaq-listed (NA) fabless IC design firm and Web3 infrastructure provider focused on high-throughput computing (HTC) and high-performance computing (HPC) chips, now also running a large crypto treasury concentrated in BNB and Bitcoin.","Hangzhou, Zhejiang, China",Infrastructure,Post-IPO,$500.00M,500000000,2025-06-24,,Kong Jianping (Jack Kong),Chairman of the Board & Chief Executive Officer,,,,,,,,,"Qifeng Sun (Vice Chairman of the Board); Can Yang (Senior Vice President, Nano bit HK Ltd subsidiary, leads digital-currency/BNB treasury strategy)",Publicly listed on Nasdaq (ticker NA); pre-IPO/PIPE backers include institutional/crypto investors; raised capital via share conversions and a ~$500M financing arrangement to fund BNB treasury,"Nasdaq: NA (uplisted to Nasdaq Global Market from Capital Market). Holds large BNB (~120k-128k) and ~1,000 BTC treasury. Announced up to $500M funding plan for BNB treasury (2025). Dr. Kailong Cai appointed CEO of subsidiary Nano bit HK.",medium,"No dedicated CTO is publicly named; Kong Jianping (often styled 'Jack Kong') has led as Chairman & CEO since Jan 2021. Investor relations: Ascent Investor Relations (Tina Xiao), investors@ascent-ir.com, +1-646-932-7242. Note the company's official Web3 site/branding uses nano.cn / ir.nano.cn; the prompt's www.nano.cn is the Chinese corporate domain. CEO/Vice-Chairman LinkedIn/Twitter not confirmed (company LinkedIn: linkedin.com/company/nanolabsltd).",https://www.coincarp.com/fundraising/nano-labs/nano-labs-postipo/,Web research
Blueprint Finance,https://www.blueprintfinance.com,"San Francisco-based DeFi infrastructure company building protocols and tooling to advance on-chain finance, including its Concrete (institutional yield/lending) and Glow (Solana-based trading/lending/liquid restaking) products.","San Francisco, California, USA","Infrastructure, Finance/Banking",Undisclosed,$9.50M,9500000,2025-06-23,"Polychain Capital, YZi Labs (Formerly: Binance Labs), VanEck",Nic Roberts-Huntley,Co-Founder & Chief Executive Officer,https://www.linkedin.com/in/nicrh,nic@blueprintfinance.com,,Dillon Liang,Co-Founder & Chief Strategy Officer (technical co-founder),https://www.linkedin.com/in/dillsl/,,@dill_sl,Steve Weidenbach (Chief Operating Officer); Luke Hajdukiewicz (Chief Growth Officer - BD/growth contact),"Polychain Capital (lead), YZi Labs (formerly Binance Labs), VanEck, Selini Capital, Portal Ventures, Auros, Halo Capital, Leadblock/Bitpanda Ventures, BitGo, Gate Ventures",Raised an additional $9.5M (June 2025) led by Polychain Capital; prior $7.5M (2024); ~$17M total raised. Acquired Solana lending protocol Jet Protocol in 2024 (rebranded to Glow).,high,"No formal CTO title found; Dillon Liang is the co-founder serving as CSO and is the closest technical/strategy co-founder (ex-BoxGroup investor). Real engineering lead is Gustavo Silva (Engineering Manager). CEO LinkedIn vanity confirmed as 'nicrh' from his post URL; if outreach to a single technical/BD contact, Dillon Liang (very active on X, ~94k followers) or CGO Luke Hajdukiewicz are strongest.",https://www.coincarp.com/fundraising/blueprint-finance/blueprint-finance-undisclosed2/,Web research + Apollo (email)
